"rownum","Boss","Progress","MinMapTier","i32","i32","rid","f32","i32","i32","i32","i32"
0,0,0,9,205,351,"",0.15,-16843010,-16843010,-16843010,-16843010
1,0,1,10,206,205,"",0.18,-16843010,-16843010,-16843010,-16843010
2,0,2,11,1275,206,10,0.21,1996,0,0,0
3,0,3,12,208,207,"",0.24,-16843010,-16843010,-16843010,-16843010
4,0,4,13,209,208,"",0.27,-16843010,-16843010,-16843010,-16843010
5,0,5,14,210,209,"",0.3,-16843010,-16843010,-16843010,-16843010
6,0,6,15,211,210,"",0.33,-16843010,-16843010,-16843010,-16843010
7,0,7,16,1275,211,11,0.36,1996,0,0,0
8,0,8,14,1275,212,"",0.4,-16843010,-16843010,-16843010,-16843010
9,1,0,9,321,352,"",0.1,-16843010,-16843010,-16843010,-16843010
10,1,1,10,322,321,"",0.12,-16843010,-16843010,-16843010,-16843010
11,1,2,11,1275,322,12,0.15,1997,0,0,0
12,1,3,12,324,323,"",0.17,-16843010,-16843010,-16843010,-16843010
13,1,4,13,325,324,"",0.2,-16843010,-16843010,-16843010,-16843010
14,1,5,14,326,325,"",0.22,-16843010,-16843010,-16843010,-16843010
15,1,6,15,327,326,"",0.25,-16843010,-16843010,-16843010,-16843010
16,1,7,16,1275,327,13,0.27,1997,0,0,0
17,1,8,14,1275,328,"",0.3,-16843010,-16843010,-16843010,-16843010
