"rownum","Id","Normal_WorldAreasKeys","Cruel_WorldAreasKeys","Merciless_WorldAreasKeys","Endgame_WorldAreasKeys","i32"
0,"OutdoorEnd","[480,514]","[553,586]","[625,658]","[697,730]",1
1,"OutdoorEndBottleneck","[481,515,504]","[554,587,576]","[626,659,648]","[698,731,720]",1
2,"OutdoorStraight","[482,505,516]","[555,577,588]","[627,649,660]","[699,721,732]",2
3,"OutdoorStraightBottleneck","[517,506,483]","[589,578,556]","[661,650,628]","[733,722,700]",2
4,"OutdoorBranch","[484,507,518]","[557,579,590]","[629,651,662]","[701,723,734]",3
5,"OutdoorBranchBottleneck1","[508,519]","[580,591]","[652,663]","[724,735]",3
6,"OutdoorBranchBottleneck2","[520,509,486]","[592,581,559]","[664,653,631]","[736,725,703]",3
7,"OutdoorQuad","[488,511,522]","[561,583,594]","[633,655,666]","[705,727,738]",4
8,"IndoorShortcut",[460],[533],[605],[677],2
9,"IndoorEndBottleneck","[459,470,493]","[532,543,565]","[604,615,637]","[676,687,709]",1
10,"IndoorStraight","[494,471,460]","[566,544,533]","[638,616,605]","[710,688,677]",2
11,"IndoorStraightBottleneck","[461,495,472]","[534,567,545]","[606,639,617]","[678,711,689]",2
12,"IndoorBranch","[496,473,462]","[568,546,535]","[640,618,607]","[712,690,679]",3
13,"IndoorBranchBottleneck1","[463,497,474]","[536,569,547]","[608,641,619]","[680,713,691]",3
14,"IndoorBranchBottleneck2","[464,498,475]","[537,570,548]","[609,642,620]","[681,714,692]",3
15,"IndoorQuad","[466,477,500]","[539,550,572]","[611,622,644]","[683,694,716]",4
16,"OutdoorQuadDoor","[524,490,513]","[596,563,585]","[668,635,657]","[740,707,729]",4
17,"OutdoorBranchDoor","[521,487,510]","[593,560,582]","[665,632,654]","[737,704,726]",3
18,"IndoorQuadDoor","[468,479,502]","[541,552,574]","[613,624,646]","[685,696,718]",4
19,"IndoorBranchDoor","[465,476,499]","[538,549,571]","[610,621,643]","[682,693,715]",3
20,"EntranceStraight",[516],[588],[660],[732],2
21,"EntranceQuadDoor",[524],[596],[668],[740],4
22,"EntranceQuad",[522],[594],[666],[738],4
23,"EntranceBranch",[518],[590],[662],[734],3
24,"EntranceBranchDoor",[521],[593],[665],[737],3
25,"EntranceStraightBottleneck",[517],[589],[661],[733],2
26,"ElegantBlockBranch",[491],[],[],[],3
27,"Boss1",[525],[597],[669],[741],2
28,"Boss2",[526],[598],[670],[742],3
29,"Boss3",[527],[599],[671],[743],4
30,"FinalBoss1",[528],[600],[672],[744],2
31,"FinalBoss2",[529],[601],[673],[745],3
32,"FinalBoss3",[530],[602],[674],[746],4
