"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","PlayerConditionsKeys","MonsterDeathConditionsKeys","[rid]","i32","i32","bool","bool","rid","[rid]","[rid]","[rid]","rid","i32","NearbyMonsterConditionsKeys","bool","MultiPartAchievementConditionsKeys","i32","bool"
0,"KillOversoulWhileFortified",[148],[2511],1,[0],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
1,"KillBurningManWhileBurning",[3926],[2513],1,[1],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
2,"KillHybridWidowWhileCoveredInSpiders",[2481],[],1,[2],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
3,"KillArmalaWhileWebbedX5",[5376],[],1,[3],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
4,"KillArmalaWhileWebbed",[5376],[],1,[4],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
5,"KillTheGoddessWhileBeamed",[4514],[],1,[5],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
6,"KillPhoenixWhileFirebombed",[4856],[],1,[6],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
7,"KillConstrictorWhileVined",[5938],[],1,[7],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
8,"KillHallowedHuskInBloodRain",[1587],[],"",[8],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
9,"KillDelveBossLevel81","[5933,6609,6610]",[9106],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
10,"KillDelveBossLevel75NoFlares","[5933,6609,6610]",[],"",[],[],[],75,75,"","","",[75],[],[],"",0,[],"",[],1,""
11,"KillDelveBoss","[5933,6609,6610]",[8193],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
12,"KillVisionOfJusticeWhileJudged",[4518],[],1,[10],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
13,"KillDominusAsRanger",[1585],[993],"",[12],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
14,"KillDominusAsTemplar",[1585],[994],"",[14],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
15,"KillDominusAsWitch",[1585],[995],"",[11],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
16,"KillDominusAsShadow",[1585],[996],"",[16],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
17,"KillDominusAsDuelist",[1585],[997],"",[15],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
18,"KillDominusAsMarauder",[1585],[998],"",[13],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
19,"KillDominusAsScion",[1585],[999],"",[17],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
20,"KillAnyHarbinger",[0],[],"",[],[4],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
21,"KillAnyBreachMonsterWithRampageAndShrine",[0],[],"","[19,20]",[16],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
