"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","i32","bool","bool","rid","i32","i32","i32","i32","bool","bool","i32"
0,6559,1944,1946,1,1,60,1,20,120,256,"","",0,0,8,0,0,1,"",0
1,6558,2181,2181,1,1,60,1,20,120,257,"","",0,0,8,0,0,1,"",0
2,6873,2610,2610,1,1,60,1,20,120,0,"","",0,0,8,0,0,1,"",0
3,6874,2610,2610,1,1,60,1,20,120,256,"","",0,0,8,0,0,1,"",0
4,6875,2610,2610,1,1,60,1,20,120,256,"","",0,0,8,0,0,1,"",0
5,4962,1076,1076,1,1,60,1,20,120,0,"","",0,0,8,0,0,1,"",0
6,7637,3454,3454,1,1,60,0,20,120,0,"","",0,0,8,0,0,1,"",0
7,7844,3723,3723,1,1,60,1,20,120,256,"","",0,0,8,0,0,1,"",0
8,7845,3723,3723,1,1,60,1,20,120,256,"","",0,0,8,0,0,1,"",0
9,7848,3723,3723,1,1,105,1,40,120,257,"","",0,0,8,0,0,1,"",0
10,7849,3723,3723,1,1,80,1,20,120,257,"","",0,0,8,0,0,1,"",0
11,8211,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
12,8212,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
13,8213,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
14,8214,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
15,8215,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
16,8216,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
17,8217,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
18,8218,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
19,8219,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
20,8221,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
21,8223,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
22,8224,4381,4381,1,"",30,1,15,120,256,"","",0,0,8,0,30,"","",0
23,8695,4381,4381,1,1,0,1,5,60,0,"","",0,0,8,0,0,"","",0
24,8979,4381,4381,1,"",105,1,20,75,256,"","",0,0,8,0,0,"",1,0
25,8980,4381,4381,1,"",105,1,24,75,256,"","",0,0,8,0,0,"",1,0
26,8981,4381,4381,1,"",105,1,15,75,256,"","",0,0,8,0,0,"",1,0
