"rownum","Id","i32","bool","bool"
0,"ShaperInfluenceOutcome1",62584,1,""
1,"ShaperInfluenceOutcome2",57353,1,""
2,"ShaperInfluenceOutcome3",48007,1,""
3,"ShaperInfluenceOutcome4",25190,1,""
4,"DelvePlugin",64915,"",""
5,"IncursionPastPlugin",32669,"",""
6,"IncursionTemplePlugin",26226,"",""
7,"BetrayalSafehousePlugin",61701,"",""
8,"SynthesisPlugin",18053,"",""
9,"SynthesisPluginServer",1928,1,""
10,"BlightEndGamePlugin",15025,"",""
11,"AfflictionPlugin",2161,"",""
12,"HeistPlugin",2373,"",""
13,"MarkedMapBoss",57908,1,""
14,"UltimatumPlugin",31963,"",""
15,"ExpeditionPlugin",2154,"",""
16,"LakePlugin",41250,"",""
