"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6728],"",[],[],[]
1,"DropVaalItem",[],"",[],[2521],[50]
2,"AlwaysIgnite",[],"",[],"[4992,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1227],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4991,659]","[1,100]"
6,"TormentedExperimenterPossess","[8546,8637,8722,8724,8764]","",[],[],[]
7,"TormentedBlasphemerPossess","[8549,8635,8722,8724,8764]","",[],[],[]
8,"TormentedNecromancerPossess","[8552,8637,8722,8724,8764]","",[],[],[]
9,"TormentedArsonistPossess","[8555,8637,8722,8724,8764]","",[],[],[]
10,"TormentedThiefPossess","[8584,8638,8722,8724,8764]","",[],[],[]
11,"TormentedMutilatorPossess","[8597,8637,8722,8724,8764]","",[],[],[]
12,"TormentedCharlatanPossess","[8565,8637,8722,8724,8764]","",[],[],[]
13,"TormentedCannibalPossess","[8590,8637,8722,8724,8764]","",[],[],[]
14,"TormentedPoisonerPossess","[8558,8637,8722,8724,8764]","",[],[],[]
15,"TormentedCorrupterPossess","[8561,8638,8722,8724,8764]","",[],[],[]
16,"TormentedThugPossess","[8568,8635,8722,8724,8764]","",[],[],[]
17,"TormentedRoguePossess","[8571,8635,8572,8722,8724,8764]","",[],[],[]
18,"TormentedFishermanPossess","[8574,8638,8722,8724,8764]","",[],[],[]
19,"TormentedLibrarianPossess","[8577,8638,8722,8724,8764]","",[],[],[]
20,"TormentedCutthroatPossess","[8581,8635,8722,8724,8764]","",[],[],[]
21,"TormentedSpyPossess","[8587,8635,8722,8724,8764]","",[],[],[]
22,"TormentedMartyrPossess","[8594,8637,8722,8724,8764]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8600,8638,8722,8724,8764]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8606,8637,8722,8724,8764]","",[],[],[]
25,"TormentedWarlordPossess","[8609,8635,8722,8724,8764]","",[],[],[]
26,"TormentedFreezerPossess","[8613,8637,8722,8724,8764]","",[],[],[]
27,"TormentedSmugglerPossess","[8617,8615,8638,8722,8724,8764]","",[],[],[]
