"rownum","BaseItemTypesKey","Block"
0,4873,24
1,4874,23
2,4875,26
3,4876,25
4,4877,24
5,4878,23
6,4879,25
7,4880,26
8,4881,25
9,4882,24
10,4883,23
11,4884,25
12,4885,26
13,4886,25
14,4887,24
15,4888,23
16,4889,25
17,4890,23
18,4891,23
19,4892,23
20,4893,25
21,4894,26
22,4895,24
23,4896,27
24,4897,26
25,4898,25
26,4899,26
27,4900,24
28,4901,27
29,4902,26
30,4903,25
31,4904,26
32,4905,24
33,4906,27
34,4907,26
35,4908,25
36,4909,22
37,4910,22
38,4911,22
39,4912,22
40,4913,24
41,4914,22
42,4915,24
43,4916,23
44,4917,25
45,4918,24
46,4919,22
47,4920,24
48,4921,23
49,4922,25
50,4923,24
51,4924,22
52,4925,24
53,4926,23
54,4927,25
55,4928,20
56,4929,20
57,4930,20
58,4931,24
59,4932,24
60,4933,27
61,4934,26
62,4935,25
63,4936,24
64,4937,27
65,4938,26
66,4939,25
67,4940,24
68,4941,27
69,4942,26
70,4943,25
71,4944,22
72,4945,24
73,4946,26
74,4947,24
75,4948,22
76,4949,24
77,4950,26
78,4951,24
79,4952,22
80,4953,24
81,4954,26
82,4955,24
83,4956,22
84,4957,24
85,4958,24
86,4959,25
87,4960,26
88,4961,24
89,4962,24
90,4963,25
91,4964,26
92,4965,24
93,4966,24
94,4967,25
95,4968,26
96,4969,24
97,4970,20
