"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","i32","rid","bool","[rid]","CompletionAchievements"
0,"Void1",4,83,974,4,9109,225,0,2333,1100,"[1243,1245,1244,1242]",1275,2297,1,[],[8796]
1,"Void2",4,83,975,4,9110,225,0,2333,1101,"[1730,1729,1727,1728]",1275,2298,1,[],[8797]
2,"Void3",4,83,976,4,9111,225,0,2333,1102,"[454,452,451,453]",1275,2299,1,[],[8798]
3,"Void4",4,83,977,4,9112,225,0,2333,1103,"[1073,1075,1076,1077]",1275,2300,1,[],[8799]
4,"Void5",5,83,978,5,9113,225,0,2333,1104,"[450,1074,754,1246,1279]",1275,2348,1,[],[8800]
5,"Void6",4,83,1162,4,9114,225,0,2333,1161,"[1731,1732,1733,1734]",1275,2350,1,[],[8801]
6,"Atlas1",3,73,979,2,9115,225,6,2334,1019,[],1275,2301,"",[],[]
7,"Atlas2",4,75,980,2,9116,979,8,2334,1019,[],1275,2302,"",[],[]
8,"Atlas3",5,78,981,3,9117,980,10,2334,1019,[],1275,2303,"",[],[]
9,"Atlas4",6,80,982,3,9118,981,12,2334,1019,[],1275,2304,"",[],[]
10,"Atlas5",10,83,983,10,9119,982,14,2334,1019,[],1084,2349,"",[],[]
