"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness"
0,"Fireball","[499,13217]",[611],[25],2.921,0.0474
1,"FireballRoyale","[499,13217]","[611,5755]","[25,35]",3.4315,0.0412
2,"MonsterFireball",[499],[660],[-50],2.5,0.0394
3,"MonsterFireballContactPos","[499,7084,4581,5829]",[660],[-50],2.5,0.0394
4,"BlightMonsterFireball",[499],[],[],2.5,0.045
5,"GemlingFireball1",[499],[],[],1.7889,0.0394
6,"GemlingFireball2",[499],"[173,8631,6201,1211,318,6854]","[2,100,-100,20,-35,20]",1.7889,0.0394
7,"GemlingFireball3",[499],[318],[-35],1.1889,0.0394
8,"FireballSuperNovaCitystalker","[499,1777]","[173,5755]","[8,-90]",0.6111,0.0394
9,"MonsterFireball3Parallel",[499],"[173,8631,6201,6854]","[2,100,-100,20]",1.1889,0.0394
10,"HolyFireElementalFireball",[499],[660],[-50],1.1889,0.0394
11,"LegionTemplarFireball",[499],[660],[-50],2.75,0.04
12,"HolyCitystalkerFireball",[499],[660],[-50],1.1889,0.0394
13,"AbberathMinionFireball","[499,7084,4581,5829]",[],[],1.7833,0.0394
14,"AbberathMinionFireballMap","[499,7084,4581,5829]",[],[],1.605,0.0394
15,"ExileShadowFireball","[1777,499,2319]","[660,173,216,214,175]","[-50,18,50,3,-80]",0.9444,0.0394
16,"AvariusFireball","[499,4581]",[6156],[1],4.4444,0.03
17,"AvariusWickermanFireball","[499,4581]",[6156],[1],2,0.03
18,"AvariusJudgeFireball",[499],[660],[-50],1.1889,0.0394
19,"BlackguardClericBossFireball",[499],[660],[-50],1.1889,0.0394
20,"VaalSideAreaBossHolyFireball","[499,855,1777]","[660,861,863,173,175]","[-50,20000,80,6,-30]",1.1889,0.0394
21,"PhoenixMinionFireball",[],"[175,660]","[-35,-50]",4.6444,0.0394
22,"IzaroDaemonFireball",[499],[660],[-50],1.1889,0.0394
23,"MonsterFireballSideArea","[855,499]","[861,863]","[20000,80]",1.1889,0.0394
24,"ProphecyFireballBurst",[499],"[216,214]","[100,3]",1.5222,0.0414
25,"EssenceFireballBurst",[499],[216],[100],1.5222,0.0414
26,"ProphecyMultiFireball",[499],[173],[4],1.1889,0.0394
27,"MonsterFireballStrMissionBoss",[499],"[175,1789]","[-60,30]",0.5889,0.0394
