"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1087,7131,"",0,1,5,""
1,1088,6984,"",0,1,5,""
2,1089,6998,"",0,6,10,""
3,1090,6997,"",4,6,10,""
4,1262,7043,"",9,1,5,""
5,1091,7121,"",11,1,5,""
6,1092,7123,"",13,1,5,""
7,1093,6982,"",9,1,5,""
8,1094,6988,"",16,1,5,""
9,1095,6989,"",0,1,5,""
10,1096,6992,"",12,1,5,""
11,1097,7129,"",0,6,10,""
12,1098,7115,"",0,1,5,""
13,1099,7086,"",7,1,5,""
14,1100,7058,"",2,1,5,""
15,1101,7079,"",10,6,10,""
16,1102,7003,"",11,1,5,""
17,1103,7052,"",12,6,10,""
18,1104,7002,"",0,1,5,""
19,1105,7025,"",3,6,10,""
20,1106,6979,"",15,1,5,""
21,1107,7126,"",0,6,10,""
22,1108,7122,"",0,1,5,""
23,1109,7127,"",0,11,15,""
24,1110,7018,"",1,1,5,""
25,1111,8600,"",1,0,0,""
26,1112,7057,"",4,6,10,""
27,1114,6991,"",15,1,5,""
28,1115,7074,"",0,6,10,""
29,1116,7087,"",0,1,5,""
30,1117,7073,"",0,11,15,""
31,1118,7011,"",8,11,15,""
32,1257,7062,"",1,1,5,""
33,1259,7056,"",16,1,5,""
34,1260,7083,"",5,1,5,""
35,1261,7078,"",15,1,5,""
36,1263,7007,"",10,1,5,""
37,1264,7015,"",0,1,5,""
38,1119,7125,"",0,6,10,""
39,1120,7120,"",13,1,5,""
40,1121,7112,"",0,1,5,""
41,1122,7081,"",8,1,5,""
42,1123,11198,"",8,0,0,1
43,1124,6990,"",0,1,5,""
44,1125,6993,"",0,6,10,""
45,1126,7020,"",8,6,10,""
46,1127,7068,"",0,6,10,""
47,1128,7009,"",0,6,10,""
48,1129,7033,"",8,1,5,""
49,1130,7113,"",7,1,5,""
50,1131,7119,"",0,1,5,""
51,1132,6983,"",6,1,5,""
52,1133,6999,"",4,11,15,""
53,1134,6995,"",0,6,10,""
54,1135,7019,"",2,1,5,""
55,1136,7021,"",5,1,5,""
56,1137,7027,"",14,1,5,""
57,1138,7035,"",4,1,5,""
58,1139,8103,"",4,0,0,""
59,1140,7032,"",12,11,15,""
60,1141,10959,"",12,0,0,""
61,1142,7061,"",14,6,10,""
62,1143,7114,"",5,6,10,""
63,1144,7108,"",5,6,10,""
64,1145,7064,"",6,6,10,""
65,1146,7069,"",9,6,10,""
66,1147,7016,"",16,1,5,""
67,1148,7004,"",15,1,5,""
68,1149,11199,"",15,0,0,""
69,1150,7024,"",3,6,10,""
70,1151,8279,"",3,0,0,""
71,1152,7054,"",10,6,10,""
72,1153,10572,"",10,0,0,""
73,1154,7053,"",10,11,15,""
74,1155,7029,"",7,6,10,""
75,1156,7055,"",0,6,10,""
76,1157,7130,"",4,11,15,""
77,1158,7124,"",0,11,15,""
78,1159,7093,"",1,6,10,""
79,1160,6994,"",4,11,15,""
80,1161,7137,"",4,0,0,""
81,1162,7013,"",0,6,10,""
82,1163,7048,"",14,1,5,""
83,1164,7050,"",0,11,15,""
84,1165,9289,"",0,0,0,1
85,1166,7028,"",5,6,10,""
86,1167,7037,"",4,0,0,""
87,1168,8215,"",4,0,0,""
88,1169,7038,"",0,0,0,""
89,1171,7082,"",0,6,10,""
90,1172,7118,"",2,6,10,""
91,1173,11197,"",2,0,0,""
92,1174,7133,"",0,11,15,""
93,1175,7010,"",0,11,15,""
94,1176,7001,"",16,11,15,""
