"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","rid","i32","[i32]","bool","bool"
0,"SkillGemTutorial","",58,"",0,[],11,100,[],"",1
1,"LifeFlaskTutorial","",58,"",0,[],22,100,[],"",1
2,"ManaFlaskTutorial","",58,"",0,[],219,100,[],"",1
3,"SupportGemTutorial","",58,"",0,[],218,100,[],"",1
4,"PassivePointTutorial","",58,"",0,[],280,100,[],"",1
5,"SecondPassivePointTutorial","",58,"",0,[],368,100,[],"",1
6,"StashTutorial","",58,"",0,[],431,100,[],"",1
7,"OverlapMapTutorial","",58,"",0,[],432,100,[],"",1
8,"AttackInPlaceTutorial","",58,"",0,[],893,100,[],"",1
9,"WaypointTutorial","",58,"",0,[],111,100,[],"",1
10,"ItemComparisonTutorial","",58,"",0,[],90,100,[],"",1
11,"WisdomScrollTutorial","",58,"",0,[],369,100,[],"",1
12,"GemLevelUpTutorial","",58,"",0,[],370,100,[],"",1
13,"PortalScrollTutorial","",58,"",0,[],1861,100,[],"",1
14,"ReturnToCoastTutorial","",58,"",0,[],1862,100,[],"",1
15,"ShopOrCosmeticsTabOpened","",58,"",0,[],1783,100,[],"",1
16,"XboxDelveBindingTutorial","",58,"",0,[],2026,100,[],"",1
17,"AllTutorials","",58,"",0,[],367,100,[],"",1
18,"WatchstoneTutorial","",58,"",0,[],1879,100,[],"",1
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",62,"",0,[],"",100,[],"",1
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",111,"",0,[],"",100,[],"",1
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",94,"",0,[],"",100,[],"",1
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",170,"",0,[],"",100,[],"",1
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3612,1,2,[124],1760,3,[],"",1
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",3041,1,2,[124],1718,3,[],"",""
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",3017,1,2,[124],1719,3,[],"",""
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3050,1,2,[124],1720,4,[],"",""
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3010,1,2,[128],1721,4,[],"",""
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3011,1,2,[128],1722,6,[],"",""
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3012,1,2,[1722],1723,10,[],"",""
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3119,1,2,[42],1725,10,[],"",1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3014,1,3,[124],1724,7,[],"",""
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3015,1,3,[1770],1726,7,[],"",1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3013,1,3,[1771],1727,10,[],"",""
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3116,1,2,[1784],1755,25,[],"",1
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3018,1,3,"[1773,0]",1730,10,[],"",""
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3021,1,10,"[150,0]",1732,20,[],"",1
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3022,1,5,"[1775,0,0]",1733,90,[],"",1
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3735,1,2,[1937],1938,90,[],"",1
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3023,"",3,[150],1734,25,[],"",1
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3024,"",13,[150],1735,43,[200],"",1
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3083,1,7,[937],1737,28,[],"",1
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3026,1,20,[897],1738,45,[],"",1
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4257,1,25,[],2023,90,[9],"",1
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4087,1,45,[1962],"",90,[],"",1
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",3967,"",2,[],1939,90,[112],"",1
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3031,1,40,[1175],1743,90,[],"",1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3665,"",60,[1785],1750,90,[],"",1
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3785,1,30,[479],1878,90,[],"",1
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4775,1,50,[],2145,70,[93],"",1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3071,1,4,[377],1736,90,[],"",1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3027,1,15,[],1739,30,[],"",""
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3028,1,15,[],1740,35,[],"",""
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3020,1,12,[],1731,20,[],"",""
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",2986,1,7,[],1728,25,[],1,""
