"rownum","rid","rid","i32"
0,16137,16137,3
1,16138,16138,3
2,16134,16134,0
3,16135,16135,0
4,16136,16136,0
5,16139,16139,0
6,16140,216,0
7,16142,6198,0
8,16145,216,1
9,16146,216,2
10,16147,216,3
11,16148,11835,1
12,16066,11835,2
13,16149,172,1
14,16150,172,2
15,16151,15893,1
16,16152,15893,2
17,16164,16061,3
18,16162,16162,1
19,16163,16163,3
20,16124,16124,4
21,16125,16125,4
22,16126,16126,4
23,16155,16155,0
24,16156,16155,1
25,16157,16155,3
26,16159,16158,1
27,16160,16158,2
28,16161,16161,3
29,16153,16153,0
30,16154,16153,3
31,16141,16141,0
32,16143,16141,2
33,16144,16141,3
34,16067,16067,4
35,16166,16187,1
36,16167,16167,0
37,16165,16165,3
38,16168,16188,3
39,16176,16176,3
40,16177,16177,2
41,16178,16178,1
42,16179,16179,2
43,16180,16180,2
44,16208,16155,2
45,16215,16215,4
46,16214,16214,4
