"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","rid","string","[rid]","i32","i32","bool","[rid]"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Captain Clayborne, The Accursed","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6430],[1],[221],"Ara, Sister of Light",[100],[191],"Merveil, the Returned",[2591],[-50],"Soul of the Brine King",[30],1164,0,0,0,1389,"argeLeft",[],0,0,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","The Primal One","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5838],"Queen of the Great Tangle",[20],[6336],"Void Anomaly",[6094],[40],"Soul of Arakaali",[20],1294,0,0,0,1392,"最攀䰀攀昀琀",[],0,0,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Megaera","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6159,6160]","[6,20]",[6161],"Fire and Fury",[1],[6162],"Kitava, The Destroyer",[6165],[50],"Soul of Solaris",[-8],1426,0,0,0,1395,"eLeft",[],0,0,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6166,6167]","[1,1]",[6168],"Burtok, Conjurer of Bones",[-6],[15354],"Titan of the Grove",[6170],[100],"Soul of Lunaris",[10],1426,0,0,0,1398,"攀昀琀",[],0,0,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,0,0,0,71,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,0,0,0,71,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14705],[-60],"[6915,5839]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1200,0,0,0,1402,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,0,0,0,71,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5848],[1],[6151],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1386,0,0,0,1405,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Pagan Bishop of Agony","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10921,14706]","[-50,50]",[1277],"",[],[],"",[],[],"Soul of Yugul",[-30],1438,0,0,0,1406,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Restless Shade","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11817,11818]","[-50,3]","[3423,6518]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1629,0,0,0,1407,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Cursed King","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5841],[3],[11775],"",[],[],"",[],[],"Soul of Tukohama",[120],1175,0,0,0,1401,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,0,0,0,71,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Sanguine Siren","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6158,3384]","[-25,1]",[14339],"",[],[],"",[],[],"Soul of Ralakesh",[1],1273,0,0,0,1404,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Visceris","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3589],[-60],"[2401,5852]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1566,0,0,0,1408,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Lycius, Midnight's Howl","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5844],[3],[5845],"",[],[],"",[],[],"Soul of Ryslatha",[60],1193,0,0,0,1403,"⼀䤀渀䜀愀洀攀⼀倀愀渀琀栀攀漀渀⼀䌀漀瘀攀爀䰀愀爀最攀䘀愀爀䰀攀昀琀",[],0,0,"",[]
