"rownum","Level","StatValueMultiplier","Scaling_StatsKeys","Scaling_Values","i32","i32","i32","i32"
0,1,0.1,"[10618,10622,10626]","[400,40,25]",3,0,68,0
1,8,0.2,"[10618,10622,10626]","[400,40,25]",3,0,68,0
2,15,0.3,"[10618,10622,10626]","[400,40,25]",3,0,68,0
3,22,0.4,"[10618,10622,10626]","[400,40,25]",3,0,68,0
4,29,0.5,"[10618,10622,10626]","[400,40,25]",3,0,68,0
5,36,0.6,"[10618,10622,10626]","[400,40,25]",3,0,68,0
6,43,0.7,"[10618,10622,10626]","[400,40,25]",3,0,68,0
7,50,0.8,"[10618,10622,10626]","[400,40,25]",3,0,68,0
8,57,0.9,"[10618,10622,10626]","[400,40,25]",3,0,68,0
9,68,1,"[10618,10622,10626]","[400,40,25]",3,0,68,0
10,69,1.03,"[10618,10622,10626]","[400,40,25]",3,0,68,0
11,70,1.06,"[10618,10622,10626]","[400,40,25]",3,0,68,0
12,71,1.09,"[10618,10622,10626]","[400,40,25]",3,0,68,0
13,72,1.12,"[10618,10622,10626]","[400,40,25]",3,0,68,0
14,73,1.15,"[10618,10622,10626]","[400,40,25]",3,0,68,0
15,74,1.18,"[10618,10622,10626]","[400,40,25]",3,0,68,0
16,75,1.21,"[10618,10622,10626]","[400,40,25]",3,0,68,0
17,76,1.24,"[10618,10622,10626]","[400,40,25]",3,0,68,0
18,77,1.27,"[10618,10622,10626]","[400,40,25]",3,0,68,0
19,78,1.3,"[10618,10622,10626]","[400,40,25]",3,0,68,0
20,79,1.33,"[10618,10622,10626]","[400,40,25]",3,0,68,0
21,80,1.36,"[10618,10622,10626]","[400,40,25]",3,0,68,0
22,81,1.39,"[10618,10622,10626]","[400,40,25]",3,0,68,0
23,82,1.42,"[10618,10622,10626]","[400,40,25]",3,0,68,0
24,83,1.45,"[10618,10622,10626]","[400,40,25]",3,0,68,0
