"rownum","BaseItemType","i32","i32"
0,4193,30,105
1,4192,160,105
2,4092,150,131
3,4076,0,0
4,4195,30,105
5,4194,160,105
6,4113,150,131
7,4122,160,105
8,4032,15,3
9,4031,95,62
10,4033,200,0
11,4030,5,0
12,4197,160,131
13,4149,30,105
14,4148,160,105
15,4087,150,131
16,4186,210,234
17,4198,180,234
18,4182,150,131
19,4152,120,131
20,4110,250,131
21,4117,0,160
22,4116,0,160
23,4173,160,105
24,4153,120,131
25,4057,175,131
26,4112,200,131
27,4140,30,105
28,4143,160,105
29,4142,60,211
30,4203,0,0
31,4026,15,62
32,4025,25,62
33,4029,1100,235
34,4027,550,338
35,4022,65,62
36,4021,45,62
37,4111,450,340
38,4028,550,340
39,4073,0,0
40,4082,180,131
41,4044,0,0
42,4043,0,0
43,4042,0,0
44,4041,0,0
45,4040,0,0
46,4121,160,105
47,4104,150,131
48,4128,0,160
49,4081,150,131
50,4123,150,0
51,4196,160,0
52,4079,180,131
53,4080,100,131
54,4091,80,62
55,4159,320,211
56,4114,150,131
57,4065,80,62
58,4188,0,0
59,4189,0,0
60,4187,0,0
61,4175,30,105
62,4102,0,0
63,4147,160,0
64,4088,0,0
65,4176,160,105
66,4177,30,105
67,4118,30,105
68,4164,0,0
69,4078,150,131
70,4085,0,0
71,4084,0,0
72,4038,0,0
73,4037,0,0
74,4036,0,0
75,4035,0,0
76,4034,0,0
77,4127,0,0
78,4202,30,105
79,4141,30,105
80,4144,160,105
81,4129,160,105
82,4125,30,105
83,4163,0,0
84,4178,160,105
85,4179,30,105
86,4126,1,160
87,4136,0,0
88,4105,160,131
89,4077,120,131
90,4139,0,0
91,4120,0,0
92,4154,120,131
93,4106,190,235
94,4167,160,0
95,4155,160,235
96,4146,160,0
97,4053,0,0
98,4093,0,0
99,4095,0,0
100,4094,0,0
101,4097,0,0
102,4096,0,0
103,4050,0,0
104,4107,0,0
105,4089,220,235
106,4019,50,62
107,4018,20,62
108,4020,0,0
109,4017,45,62
110,4016,15,62
111,4015,55,62
112,4014,25,62
113,4048,250,235
114,4066,150,131
115,4056,250,131
116,4165,0,0
117,4168,0,0
118,4069,45,131
119,4109,55,131
120,4068,55,131
121,4130,160,105
122,4124,30,105
123,4162,0,0
124,4045,150,131
125,4160,30,105
126,4158,160,105
127,4135,0,0
128,4134,0,0
129,4133,0,0
130,4132,0,0
131,4131,0,0
132,4070,0,0
133,4181,150,235
134,4170,0,0
135,4169,350,0
136,4115,0,0
137,4083,120,131
138,4052,0,0
139,4208,0,0
140,4047,0,0
141,4119,30,105
142,4190,90,131
143,4199,160,105
144,4191,0,0
145,4174,160,105
146,4138,150,131
147,4055,25,3
148,4054,120,131
149,4201,160,105
150,4200,30,105
151,4205,0,0
152,4206,0,0
153,4075,100,44
154,4090,0,0
155,4137,260,338
156,4046,150,131
157,4059,80,62
158,4172,30,105
159,4101,180,235
160,4058,120,131
161,4071,120,0
162,4157,160,105
163,4161,30,105
164,4156,160,131
165,4099,190,235
166,4051,150,131
167,4103,30,62
168,4145,160,131
169,4049,250,235
170,4013,330,235
171,4012,550,340
172,4011,85,62
173,4086,250,131
174,4074,0,0
175,4151,30,105
176,4150,160,105
177,4184,0,0
178,4183,350,0
179,673,100,0
180,424,90,0
181,2206,110,217
182,2205,125,217
183,2183,110,217
184,2182,125,217
185,1037,110,217
186,411,10,200
187,1674,125,217
188,1673,110,217
189,1990,115,200
190,722,90,62
191,1127,110,270
192,396,75,200
193,604,110,131
194,2216,125,200
195,1528,95,131
196,1101,95,0
197,1861,120,220
198,1619,100,131
199,1616,125,62
200,1580,120,0
201,2025,110,205
202,2160,120,205
203,2158,120,271
204,2031,125,270
205,1639,0,271
206,1726,110,200
207,397,95,131
208,434,100,200
209,429,95,200
210,427,25,62
211,414,95,200
212,1551,110,217
213,1552,125,217
214,1806,135,200
215,669,80,131
216,1989,120,200
217,2299,110,217
218,2298,125,217
219,662,100,200
220,814,100,131
221,739,95,200
222,1864,95,131
223,1615,110,131
224,1147,125,131
225,925,125,131
226,921,120,131
227,2162,125,0
228,1620,125,131
229,430,90,62
230,1852,130,200
231,1854,0,0
232,1888,110,217
233,1892,125,217
234,401,80,0
235,672,90,131
236,2072,110,217
237,2071,125,217
238,2270,0,0
239,2027,125,205
240,1865,115,205
241,1566,110,217
242,1567,125,217
243,2225,120,270
244,2224,125,270
245,1212,125,217
246,2086,110,217
247,2085,125,217
248,426,90,0
249,2322,110,217
250,2321,125,217
251,1106,90,131
252,1109,100,131
253,1104,90,131
254,1107,125,131
255,1105,80,131
256,1108,85,200
257,720,75,0
258,725,75,0
259,1705,95,0
260,1036,125,0
261,433,65,0
262,721,75,0
263,1017,90,0
264,708,90,131
265,746,125,131
266,1617,130,220
267,668,95,62
268,435,80,0
269,671,80,62
270,1122,110,131
271,724,90,131
272,618,110,131
273,1133,110,217
274,1777,110,217
275,1772,125,217
276,2163,0,220
277,413,35,62
278,768,120,131
279,405,15,62
280,830,110,131
281,770,120,200
282,1102,110,131
283,726,75,131
284,670,90,131
285,818,110,131
286,1077,125,217
287,404,90,200
288,2164,0,0
289,1118,110,131
290,1004,120,200
291,924,125,131
292,1117,100,131
293,423,120,131
294,1614,115,160
295,820,100,0
296,821,100,131
297,723,95,131
298,605,95,131
299,1812,0,220
300,606,95,0
301,1618,130,0
302,819,100,131
303,706,90,131
304,1076,125,131
305,1038,110,217
306,1125,115,0
307,1126,95,62
308,1124,110,131
309,1113,95,0
310,1121,125,0
311,1123,90,0
312,1720,100,131
313,1119,105,200
314,1903,110,217
315,1907,125,217
316,2387,0,269
317,2385,125,200
318,2386,125,269
319,2383,0,200
320,2384,125,200
321,2351,0,269
322,412,70,131
323,1115,125,131
324,2257,115,0
325,2130,125,270
326,2367,0,0
327,2382,125,269
328,2118,125,200
329,1130,125,200
330,2366,125,269
331,2365,125,269
332,2252,120,200
333,1116,100,131
334,2263,125,200
335,2364,135,200
336,2266,120,200
337,1627,120,131
338,1730,125,200
339,1140,95,220
340,1141,130,200
341,2255,115,200
342,2268,135,200
343,2256,115,200
344,1853,125,131
345,2119,150,270
346,2259,125,200
347,2267,120,200
348,2258,0,271
349,1992,120,271
350,1142,100,200
351,2050,0,0
352,2049,0,0
353,2048,0,0
354,2047,130,0
355,2265,0,0
356,1633,115,131
357,2165,0,0
358,824,90,220
359,1776,110,217
360,1771,125,217
361,631,100,131
362,817,120,131
363,816,100,131
364,1875,0,0
365,409,25,62
366,2264,115,0
367,1688,110,217
368,1689,125,217
369,2129,120,270
370,1731,120,200
371,432,55,62
372,1103,110,217
373,1120,85,160
374,1611,100,62
375,980,110,131
376,703,70,131
377,840,110,131
378,1146,100,160
379,2381,0,269
380,702,80,0
381,707,90,131
382,1850,110,131
383,425,90,0
384,431,70,62
385,2262,0,0
386,2261,0,0
387,2260,0,0
388,449,0,0
389,732,200,200
390,828,0,0
391,2199,320,411
392,2204,180,272
393,2203,150,189
394,2194,130,91
395,2193,100,133
396,2196,80,52
397,2201,80,161
398,2198,230,244
399,2195,80,52
400,2197,250,184
401,2200,180,272
402,667,100,0
403,614,60,0
404,483,40,0
405,2175,320,411
406,2181,180,272
407,2180,150,189
408,2169,100,133
409,2170,130,91
410,2172,80,52
411,2178,80,161
412,2174,230,244
413,2171,80,52
414,2173,250,184
415,2176,180,272
416,2227,180,0
417,2228,180,0
418,2229,130,0
419,2231,80,0
420,2230,80,0
421,2232,250,0
422,2233,210,0
423,897,150,0
424,418,15,62
425,2235,180,340
426,2234,130,145
427,2237,80,100
428,2236,80,100
429,2238,250,275
430,2239,275,407
431,1671,320,411
432,1680,180,272
433,968,130,0
434,970,80,0
435,972,160,0
436,969,80,0
437,971,250,0
438,1678,180,272
439,1675,150,189
440,1679,180,0
441,1676,100,91
442,1666,130,133
443,1668,80,52
444,1677,80,161
445,1670,230,244
446,1667,80,52
447,1669,250,184
448,1139,150,0
449,1134,100,0
450,1136,80,0
451,1138,110,0
452,1135,80,0
453,1137,250,0
454,621,160,131
455,620,150,131
456,619,160,131
457,2024,320,650
458,2250,175,234
459,2101,130,145
460,2103,80,100
461,2106,190,340
462,2102,80,100
463,2104,250,275
464,370,70,97
465,869,250,407
466,439,85,131
467,550,110,88
468,549,70,42
469,475,90,62
470,548,70,42
471,547,215,136
472,358,50,62
473,357,50,0
474,1967,0,0
475,1965,0,0
476,1961,0,0
477,1963,0,0
478,1962,0,0
479,1964,0,0
480,1966,0,0
481,808,320,510
482,441,195,131
483,2253,150,0
484,546,110,88
485,545,70,42
486,468,175,200
487,544,70,42
488,543,215,136
489,1148,0,0
490,656,0,0
491,1926,0,0
492,1928,0,0
493,1015,320,411
494,1019,180,272
495,1026,180,272
496,1745,180,478
497,1033,150,189
498,1010,130,133
499,1012,80,52
500,1020,80,161
501,1014,230,244
502,1011,80,52
503,1013,250,184
504,2107,180,0
505,967,220,0
506,965,150,0
507,966,120,0
508,374,65,97
509,907,65,0
510,442,15,28
511,2088,640,489
512,2096,300,377
513,2090,200,266
514,2091,260,181
515,2093,160,106
516,2097,160,322
517,2095,360,544
518,2092,160,106
519,2094,500,370
520,2089,460,489
521,2168,0,200
522,759,240,200
523,415,90,200
524,815,160,303
525,1058,190,0
526,1236,0,0
527,1235,0,0
528,1234,0,0
529,1233,0,0
530,1232,0,0
531,1231,0,0
532,1230,0,0
533,1055,175,165
534,2121,100,0
535,1831,80,97
536,488,0,0
537,487,0,0
538,486,0,0
539,485,0,0
540,509,0,0
541,508,0,0
542,507,0,0
543,506,0,0
544,505,0,0
545,504,0,0
546,499,0,0
547,498,0,0
548,497,0,0
549,496,0,0
550,570,0,305
551,569,0,305
552,568,0,200
553,567,0,200
554,2032,0,0
555,2033,0,0
556,2035,0,0
557,2037,0,0
558,2036,0,0
559,2038,0,0
560,2141,180,338
561,1866,110,234
562,1177,0,0
563,1178,0,0
564,1172,0,0
565,1174,0,0
566,1176,0,0
567,1173,0,0
568,1175,0,0
569,1719,160,165
570,1590,110,131
571,1721,130,0
572,1723,80,0
573,1722,80,0
574,1724,250,0
575,420,40,62
576,1040,210,200
577,847,130,113
578,849,80,65
579,848,80,65
580,850,250,229
581,1073,300,407
582,625,110,88
583,627,70,42
584,626,70,42
585,629,0,338
586,628,215,136
587,630,100,407
588,1057,190,0
589,728,190,200
590,913,90,97
591,1822,0,0
592,1821,0,0
593,1820,0,0
594,1798,0,0
595,1797,0,0
596,811,175,165
597,1612,150,97
598,372,130,97
599,1074,130,0
600,1655,175,0
601,1786,130,0
602,1788,80,0
603,1787,80,0
604,1789,250,0
605,1912,640,0
606,1916,360,0
607,1914,300,0
608,1915,200,0
609,1908,260,0
610,1910,160,0
611,1917,160,0
612,1913,460,0
613,1909,160,0
614,1911,500,0
615,692,0,0
616,688,0,0
617,1941,0,0
618,1934,0,0
619,1060,190,0
620,381,225,165
621,2251,120,166
622,379,200,0
623,610,80,0
624,609,80,0
625,608,80,0
626,607,80,0
627,757,190,200
628,1539,320,411
629,1547,180,272
630,1548,180,272
631,2020,180,0
632,1553,150,189
633,1549,180,0
634,1545,100,91
635,1541,130,133
636,1543,80,52
637,1550,80,161
638,1540,230,244
639,1542,80,52
640,1544,250,184
641,1569,640,821
642,1578,360,544
643,2022,360,0
644,1577,300,377
645,1579,360,0
646,1575,200,181
647,1571,260,266
648,1573,160,106
649,1576,160,322
650,1570,460,489
651,1572,160,106
652,1574,500,370
653,368,75,165
654,741,0,0
655,743,0,0
656,742,0,0
657,744,0,0
658,500,130,165
659,1801,0,0
660,1803,0,0
661,1802,0,0
662,1804,0,0
663,377,90,0
664,553,300,510
665,639,190,338
666,461,220,338
667,598,180,338
668,1728,320,0
669,612,200,338
670,1824,150,165
671,538,0,0
672,534,130,113
673,517,95,113
674,530,0,0
675,526,0,0
676,521,130,113
677,513,120,113
678,1785,320,0
679,537,0,0
680,533,80,65
681,518,60,65
682,529,0,0
683,525,0,0
684,522,80,65
685,512,80,65
686,473,150,131
687,704,110,200
688,632,150,338
689,536,0,0
690,532,80,65
691,516,60,65
692,528,0,0
693,524,0,0
694,520,80,65
695,511,80,65
