"rownum","MonsterVarietiesKey","bool","rid"
0,2536,1,""
1,2540,1,15
2,2542,1,38
3,2554,1,""
4,2555,1,27
5,2559,1,15
6,2561,1,55
7,2524,1,5
8,2528,1,19
9,2532,1,26
10,2588,1,40
11,2591,1,48
12,2592,1,71
13,2576,1,25
14,2580,1,7
15,2582,1,54
16,2568,1,28
17,2571,1,9
18,2573,1,35
19,2546,1,8
20,2547,1,6
21,2551,1,70
22,2534,1,88
23,2543,1,15
24,2562,1,27
25,2585,1,8
26,2574,1,78
27,2541,"",23
28,2560,"",36
29,2533,"",18
30,2587,"",32
31,2581,"",34
32,2572,"",13
33,2550,"",35
34,4399,"",""
35,4401,"",""
36,4400,"",""
37,2601,"",""
38,2602,"",""
39,2605,"",""
40,2599,"",""
41,2603,"",""
42,2600,"",""
43,2604,"",""
44,2525,"",5
45,2537,"",""
46,2556,"",27
47,2569,"",28
48,2583,"",54
49,2589,"",40
50,2548,"",6
51,2552,1,78
52,2566,1,""
53,2553,1,""
54,2575,1,""
55,2586,1,""
56,2545,1,""
57,2567,1,81
