"rownum","Id","i32","SoldItem_TagsKeys","SoldItem_Weights","[rid]","[i32]","i32","[rid]","[i32]","i32","i32","i32"
0,"A1_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",0,[4],[],0,0,0
1,"A2_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",3,[0],[],0,0,0
2,"A3_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",5,"[4,0,17]",[],0,0,0
3,"A4_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",7,"[17,0,4]",[],0,0,0
4,"A5_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",9,"[17,0,4]",[],0,0,0
5,"A6_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",11,"[17,0,4]",[],0,0,0
6,"A7_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",13,"[17,0,4]",[],0,0,0
7,"A8_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",15,"[17,0,4]",[],0,0,0
8,"A9_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",17,"[17,0,4]",[],0,0,0
9,"A10_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",19,"[17,0,4]",[],0,0,0
10,"Epilogue_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",21,"[17,0,4]",[],0,0,0
11,"A1_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",1,"[16,10,15,11]",[],0,0,0
12,"A2_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",2,"[16,8,12,19,20,21]",[],0,0,0
13,"A3_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",4,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
14,"A4_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",6,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
15,"A5_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",8,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
16,"A6_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",10,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
17,"A7_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",12,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
18,"A8_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",14,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
19,"A9_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",16,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
20,"A10_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",18,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
21,"Epilogue_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",20,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
22,"NoRandomItems",0,[0],[0],[],[],0,[],[],0,0,0
23,"Cadiro",0,[0],[0],[],[],0,[],[],0,0,5
24,"Einhar",0,[0],[0],[],[],0,[42],[1],0,0,0
25,"Kirac",0,[0],[0],[],[],0,[],[],0,0,0
26,"Whakano",10,"[33,0]","[0,1000]",[38],[1],22,[],[],67,48,0
27,"EndlessDelve",0,[],[],[],[],0,"[10,15,11,8,12,19,20,21,6,7,17,0,4]",[],0,0,0
28,"ExpeditionHaggler",0,[],[],[],[],0,[],[],0,0,1
29,"ExpeditionGambler",0,[],[],[],[],0,[],[],0,0,3
30,"ExpeditionDealer",0,[],[],[],[],0,[],[],0,0,2
31,"ExpeditionSaga",0,[],[],[],[],0,[],[],0,0,4
32,"EndlessHeistContracts",8,[],[],[],[],23,[],[],75,1,0
