"rownum","AfflictionRewardTypes","Id","Name"
0,0,"DeliriumRewardCurrency","Currency"
1,1,"DeliriumRewardUniques","Unique Items"
2,2,"DeliriumRewardGems","Gems"
3,3,"DeliriumRewardMaps","Map Items"
4,4,"DeliriumRewardTrinkets","Jewellery"
5,5,"DeliriumRewardArmour","Armour"
6,6,"DeliriumRewardWeapon","Weapons"
7,7,"DeliriumRewardAbyss","Abyss Items"
8,8,"DeliriumRewardExpedition","Expedition Items"
9,9,"DeliriumRewardHarbinger","Harbinger Items"
10,10,"DeliriumRewardBreach","Breach Items"
11,11,"DeliriumRewardEssences","Essences"
12,12,"DeliriumRewardEssences","Essences"
13,13,"DeliriumRewardFragments","Fragments"
14,14,"DeliriumRewardScarabs","Scarabs"
15,15,"DeliriumRewardFossils","Fossils"
16,16,"DeliriumRewardCurrency","Currency"
17,17,"DeliriumRewardDivination","Divination Cards"
18,18,"DeliriumRewardGeneric","Miscellaneous Items"
19,19,"DeliriumRewardTalismans","Talismans"
20,20,"DeliriumRewardLabyrinth","Labyrinth Items"
21,22,"DeliriumRewardIncubators","Incubators"
22,23,"DeliriumRewardBlight","Blight Items"
23,24,"DeliriumRewardMetamorph","Catalysts"
