"rownum","Level","i32","i32","i32","i32","i32","i32","bool","i32","bool","bool","bool"
0,1,0,0,0,0,0,0,1,335544320,"","",""
1,2,0,0,0,0,0,0,1,335544320,"","",""
2,3,0,0,0,0,0,0,1,335544320,"","",""
3,4,0,0,0,0,0,0,1,335544320,"","",""
4,5,0,0,0,0,0,0,1,335544320,"","",""
5,6,0,0,0,0,0,0,1,335544320,"","",""
6,7,0,0,0,0,0,0,1,335544320,"","",""
7,8,0,0,0,0,0,0,1,335544320,"","",""
8,9,0,0,0,0,0,0,1,335544320,"","",""
9,10,0,0,0,0,0,0,1,335544320,"","",""
10,11,0,0,0,0,0,0,1,335544320,"","",""
11,12,0,0,0,0,0,0,1,335544320,"","",""
12,13,0,0,0,0,0,0,1,335544320,"","",""
13,14,0,0,0,0,0,0,1,335544320,"","",""
14,15,0,0,0,0,0,0,1,335544320,"","",""
15,16,0,0,0,0,0,0,1,335544320,"","",""
16,17,0,0,0,0,0,0,1,335544320,"","",""
17,18,0,0,0,0,0,0,1,335544320,"","",""
18,19,0,0,0,0,0,0,1,335544320,"","",""
19,20,0,0,0,0,0,0,1,335544320,"","",""
20,21,0,0,0,0,0,0,1,335544320,"","",""
21,22,0,0,0,0,0,0,1,335544320,"","",""
22,23,0,0,0,0,0,0,1,335544320,"","",""
23,24,0,0,0,0,0,0,1,335544320,"","",""
24,25,0,0,0,0,0,0,1,335544320,"","",""
25,26,0,0,0,0,0,0,1,335544320,"","",""
26,27,0,0,0,0,0,0,1,335544320,"","",""
27,28,0,0,0,0,0,0,1,335544320,"","",""
28,29,0,0,0,0,0,0,1,335544320,"","",""
29,30,0,0,0,0,0,0,1,335544320,"","",""
30,31,0,0,0,0,0,0,1,335544320,"","",""
31,32,0,0,0,0,0,0,1,335544320,"","",""
32,33,0,0,0,0,0,0,1,335544320,"","",""
33,34,0,0,0,0,0,0,1,335544320,"","",""
34,35,0,0,0,0,0,0,1,335544320,"","",""
35,36,0,0,0,0,0,0,1,335544320,"","",""
36,37,0,0,0,0,0,0,1,335544320,"","",""
37,38,0,0,0,0,0,0,1,335544320,"","",""
38,39,0,0,0,0,0,0,1,335544320,"","",""
39,40,0,0,0,0,0,0,1,335544320,"","",""
40,41,0,0,0,0,0,0,1,335544320,"","",""
41,42,0,0,0,0,0,0,1,335544320,"","",""
42,43,0,0,0,0,0,0,1,335544320,"","",""
43,44,0,0,0,0,0,0,1,335544320,"","",""
44,45,0,0,0,0,0,0,1,335544320,"","",""
45,46,0,0,0,0,0,0,1,335544320,"","",""
46,47,0,0,0,0,0,0,1,335544320,"","",""
47,48,0,0,0,0,0,0,1,335544320,"","",""
48,49,0,0,0,0,0,0,1,335544320,"","",""
49,50,0,0,0,0,0,0,1,335544320,"","",""
50,51,0,0,0,0,0,0,1,335544320,"","",""
51,52,0,0,0,0,0,0,1,335544320,"","",""
52,53,0,0,0,0,0,0,1,335544320,"","",""
53,54,0,0,0,0,0,0,1,335544320,"","",""
54,55,0,0,0,0,0,0,1,335544320,"","",""
55,56,0,0,0,0,0,0,1,335544320,"","",""
56,57,0,0,0,0,0,0,1,335544320,"","",""
57,58,0,0,0,0,0,0,1,335544320,"","",""
58,59,0,0,0,0,0,0,1,335544320,"","",""
59,60,0,0,0,0,0,0,1,335544320,"","",""
60,61,0,0,0,0,0,0,1,335544320,"","",""
61,62,0,0,0,0,0,0,1,335544320,"","",""
62,63,0,0,0,0,0,0,1,335544320,"","",""
63,64,0,0,0,0,0,0,1,335544320,"","",""
64,65,0,0,0,0,0,0,1,335544320,"","",""
65,66,0,0,0,0,0,0,1,335544320,"","",""
66,67,0,0,0,0,0,0,1,335544320,"","",""
67,68,0,2000,2,7500,6,0,1,335544320,"","",""
68,69,0,2100,2,7500,6,3,1,335544320,"","",""
69,70,0,2200,2,7500,6,7,1,335544320,"","",""
70,71,0,2300,2,7500,6,10,1,335544320,"","",""
71,72,0,2400,2,7500,6,13,1,335544320,"","",""
72,73,0,2500,2,7500,7,17,1,335544320,"","",""
73,74,0,2600,2,7500,7,20,1,335544320,"","",""
74,75,0,2700,2,7500,7,23,1,335544320,"","",""
75,76,0,2800,2,7500,7,27,1,335544320,"","",""
76,77,0,2900,2,7500,7,30,1,335544320,"","",""
77,78,0,2000,3,7500,8,33,1,335544320,"","",""
78,79,0,2100,3,7500,8,37,1,335544320,"","",""
79,80,0,2200,3,7500,8,40,1,335544320,"","",""
80,81,60,2300,3,7500,8,43,1,335544320,"","",""
81,82,65,2400,3,7500,8,47,1,335544320,"","",""
82,83,70,2500,3,7500,8,50,1,335544320,"","",""
83,84,70,2500,3,7500,8,50,1,335544320,"","",""
84,85,70,2500,3,7500,8,50,1,335544320,"","",""
85,86,70,2500,3,7500,8,50,1,335544320,"","",""
86,87,70,2500,3,7500,8,50,1,335544320,"","",""
87,88,70,2500,3,7500,8,50,1,335544320,"","",""
88,89,70,2500,3,7500,8,50,1,335544320,"","",""
89,90,70,2500,3,7500,8,50,1,335544320,"","",""
90,91,70,2500,3,7500,8,50,1,335544320,"","",""
91,92,70,2500,3,7500,8,50,1,335544320,"","",""
92,93,70,2500,3,7500,8,50,1,335544320,"","",""
93,94,70,2500,3,7500,8,50,1,335544320,"","",""
94,95,70,2500,3,7500,8,50,1,335544320,"","",""
95,96,70,2500,3,7500,8,50,1,335544320,"","",""
96,97,70,2500,3,7500,8,50,1,335544320,"","",""
97,98,70,2500,3,7500,8,50,1,335544320,"","",""
98,99,70,2500,3,7500,8,50,1,335544320,"","",""
99,100,70,2500,3,7500,8,50,1,335544320,"","",""
