"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",267,1,1,"",1,0,1
1,1,69,"","",1,"",1,0,1
2,2,153,154,"",1,"",1,0,1
3,3,268,269,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,268,"","",1,"",1,0,1
6,6,268,"",1,1,"",1,0,1
7,7,1402,"","","","",1,0,1
8,8,2060,"","","",1,1,0,1
9,9,2356,"","","",1,1,0,1
10,10,2515,"","","",1,1,0,1
11,11,2492,"","","","",1,0,1
12,12,2862,"","","","",1,0,1
13,13,268,"","",1,"",1,0,1
14,14,3190,"","",1,"",1,0,1
15,15,3191,"","",1,"",1,0,1
16,16,3192,"","",1,"",1,0,1
17,17,3243,"","","","",1,0,1
18,18,3383,"","","","",1,-100,1
19,19,492,267,1,"","",1,0,1
20,20,1798,"","","","",1,0,1
21,21,3588,"","","","",1,0,1
22,22,3674,"","","","",1,0,1
23,23,3675,"","","","",1,0,1
24,24,3676,"","","","",1,0,1
25,25,3833,"","","",1,1,0,1
26,26,4178,"","","","",1,0,1
27,27,4290,"","","","",1,0,1
28,28,4711,"","","","",1,0,1
29,29,4866,"",1,"",1,1,0,1
30,30,4889,"","",1,"",1,0,1
31,31,5146,"","","",1,1,0,1
32,32,5145,"","","","",1,0,1
33,33,5149,"","","",1,1,0,1
34,34,5150,"","","",1,1,0,1
35,35,5148,"","","",1,1,0,1
36,36,5195,"",1,1,1,1,0,1
37,37,5196,"",1,1,1,1,0,1
38,38,5594,"","",1,1,1,0,1
39,39,5690,"","","","",1,0,1
40,40,6169,"","","",1,1,0,1
41,41,6209,"","","",1,1,0,1
42,42,6265,"","","",1,1,0,1
43,43,6128,"","","","",1,0,1
