"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19527,0,11,100,1,6,1,1
1,19528,0,50,100,3,6,1,1
2,19579,0,11,100,1,6,1,1
3,19583,0,11,100,1,6,1,1
4,19584,0,11,100,1,6,1,1
5,19585,0,11,100,1,6,1,1
6,19586,0,11,100,1,6,1,1
7,19591,0,11,100,1,6,1,1
8,19594,150,11,100,1,3,1,1
9,19595,150,25,100,4,5,1,1
10,19596,75,68,100,6,7,1,1
11,19597,150,11,100,1,3,1,1
12,19598,150,25,100,4,5,1,1
13,19599,75,68,100,6,7,1,1
14,19600,150,11,100,1,3,1,1
15,19601,150,25,100,4,5,1,1
16,19602,75,68,100,6,7,1,1
17,19593,75,68,100,3,6,1,1
18,19603,150,40,100,1,3,1,1
19,19604,75,68,100,4,5,1,1
20,19592,37,68,100,6,7,1,1
21,19581,0,11,100,1,3,1,1
22,19605,0,25,100,4,5,1,1
23,19606,0,68,100,6,7,1,1
24,19607,0,68,100,6,7,1,1
25,19587,0,11,100,1,3,1,1
26,19608,0,25,100,4,5,1,1
27,19609,0,68,100,6,7,1,1
28,19582,150,11,100,1,3,1,1
29,19610,75,40,100,4,5,1,1
30,19611,37,68,100,6,7,1,1
31,19588,150,11,100,1,6,1,1
32,19589,75,68,100,4,7,1,1
33,19612,150,68,100,3,7,1,1
