"rownum","Id","i32","[rid]"
0,"absolution_blast",0,[5273]
1,"flame_golem",-4,[8719]
2,"flame_golem",-3,[8686]
3,"flame_golem",-2,[7659]
4,"flame_golem",-1,[4175]
5,"flame_golem",0,[4174]
6,"flame_golem",1,[4176]
7,"flame_golem_monster",1,[4189]
8,"lightning_golem",-4,[8721]
9,"lightning_golem",-3,[8688]
10,"lightning_golem",-2,[7661]
11,"lightning_golem",-1,[4210]
12,"lightning_golem",0,[4205]
13,"lightning_golem",1,[4206]
14,"ice_golem_monster",1,[4164]
15,"ice_golem",-4,[8718]
16,"ice_golem",-3,[8685]
17,"ice_golem",-2,[7658]
18,"ice_golem",-1,[4162]
19,"ice_golem",0,[4160]
20,"ice_golem",1,[4161]
21,"stone_golem",-4,[8722]
22,"stone_golem",-3,[8689]
23,"stone_golem",-2,[7662]
24,"stone_golem",-1,[4455]
25,"stone_golem",0,[4454]
26,"chaos_golem_monster",1,[3963]
27,"chaos_golem",-4,[8720]
28,"chaos_golem",-3,[8687]
29,"chaos_golem",-2,[7660]
30,"chaos_golem",-1,[4203]
31,"chaos_golem",0,[4201]
32,"bone_golem",0,[7631]
33,"bone_golem",1,[7978]
34,"bone_golem",2,[8385]
35,"bone_golem",3,[8397]
36,"agony_crawler",0,[6711]
37,"agony_crawler",1,[6711]
38,"agony_crawler",2,[6711]
39,"agony_crawler",3,[6711]
40,"agony_crawler",4,[6711]
41,"agony_crawler",5,[6711]
42,"agony_crawler",6,[6711]
43,"agony_crawler",7,[6711]
44,"agony_crawler",8,[6711]
45,"agony_crawler",9,[6711]
46,"agony_crawler",10,[6876]
47,"agony_crawler",11,[6713]
48,"agony_crawler",12,[6712]
49,"agony_crawler",13,[7166]
50,"agony_crawler",14,[7320]
51,"agony_crawler",15,[7688]
52,"agony_crawler",16,[7976]
53,"agony_crawler",17,[7979]
54,"agony_crawler",18,[8198]
55,"agony_crawler",19,[8383]
56,"agony_crawler",20,[8429]
57,"purity_champion",0,[1301]
58,"purity_champion",1,[1301]
59,"purity_champion",2,[1301]
60,"purity_champion",3,[1301]
61,"purity_champion",4,[1301]
62,"purity_champion",5,[1301]
63,"purity_champion",6,[1301]
64,"purity_champion",7,[1301]
65,"purity_champion",8,[1301]
66,"purity_champion",9,[1301]
67,"purity_champion",10,[6877]
68,"purity_champion",11,[1302]
69,"purity_champion",12,[1303]
70,"purity_champion",13,[7167]
71,"purity_champion",14,[7321]
72,"purity_champion",15,[7689]
73,"purity_champion",16,[7977]
74,"purity_champion",17,[7980]
75,"purity_champion",18,[8199]
76,"purity_champion",19,[8384]
77,"purity_champion",20,[8430]
78,"tornado",0,[8769]
79,"tornado",1,[8958]
80,"triggered_summon_spider",0,[5265]
81,"triggered_summon_spider",1,[5266]
82,"raging_spirit",0,[3037]
83,"raging_spirit",1,[3038]
84,"raging_spirit",2,[3039]
85,"raging_spirit",3,[3040]
86,"raging_spirit",4,[3041]
87,"raging_spirit",5,[7638]
88,"raging_spirit",6,[3042]
89,"raging_spirit",7,[8600]
90,"raging_spirit",8,[8792]
91,"raging_spirit",9,[8793]
92,"raging_spirit",10,[9000]
93,"raging_spirit_monster",0,[3045]
94,"raging_spirit_monster",1,[3046]
95,"raging_spirit_monster",2,[3048]
96,"raging_spirit_monster",3,[3049]
97,"raging_spirit_monster",4,[3050]
98,"raging_spirit_monster",5,[7638]
99,"raging_spirit_monster",8,[8792]
100,"raging_spirit_monster",9,[8793]
101,"raging_spirit_monster",10,[9000]
