"rownum","WorldAreasKey","Connections"
0,833,"[1,0]"
1,835,"[2,0,8]"
2,836,"[9,0]"
3,837,[10]
4,838,[11]
5,839,[12]
6,841,[13]
7,842,"[14,0]"
8,843,"[15,0]"
9,844,"[16,0]"
10,845,"[17,0,3]"
11,847,"[18,0]"
12,848,"[19,0]"
13,849,"[20,0]"
14,850,"[21,0]"
15,851,"[22,0]"
16,852,"[23,0,86,0]"
17,854,"[24,0,10]"
18,856,"[25,0]"
19,857,"[26,0]"
20,858,"[27,0]"
21,859,"[28,0]"
22,860,"[29,0,15]"
23,862,"[30,0]"
24,863,"[31,0]"
25,864,"[32,0]"
26,865,"[33,0]"
27,867,"[28,0]"
28,868,"[34,0,21]"
29,870,"[35,0]"
30,871,"[36,0]"
31,872,"[37,0]"
32,873,"[38,0]"
33,874,"[39,0]"
34,875,"[40,0,28]"
35,877,"[41,0]"
36,878,"[42,0,30]"
37,880,"[43,0]"
38,881,"[44,0]"
39,883,"[40,0,33]"
40,885,"[45,0,34,0]"
41,887,"[46,0,63]"
42,888,"[47,0]"
43,889,"[48,0,69]"
44,890,"[49,0]"
45,891,"[50,0]"
46,892,"[51,0]"
47,893,"[52,0]"
48,894,"[53,0]"
49,895,"[54,0]"
50,896,"[55,0]"
51,897,"[56,0]"
52,898,"[57,0]"
53,899,"[58,0]"
54,900,"[55,0]"
55,901,"[59,0,50]"
56,903,"[57,0,60]"
57,904,"[61,0,52]"
58,905,"[62,0]"
59,908,"[63,0]"
60,909,"[64,0]"
61,910,"[65,0]"
62,911,"[66,0]"
63,912,"[67,0,41]"
64,913,"[68,0]"
65,914,"[69,0]"
66,915,"[70,0]"
67,916,"[71,0]"
68,917,"[72,0]"
69,919,"[73,0,43]"
70,920,"[71,0]"
71,921,"[75,0,67]"
72,922,"[76,0]"
73,924,"[77,0]"
74,925,[75]
75,927,"[71,0]"
76,928,[72]
77,929,[73]
78,846,[10]
79,853,[16]
80,855,[17]
81,861,[22]
82,876,[34]
83,879,[36]
84,884,[39]
85,886,[40]
86,753,"[87,0]"
87,754,[86]
