"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8246,0,[3],[6167],"",0,1,-30,0,150,800
1,8246,1,[1],"[6172,9415]","",0,1,-30,0,150,800
2,8249,0,[1],[],"",0,1,0,0,150,800
3,8251,0,"[1,3]","[6171,9415]","",0,1,-30,0,150,800
4,8253,0,"[1,3]","[6150,9415]","",0,1,-30,0,150,800
5,8255,0,[2],[1610],"",10,1,-15,0,150,800
6,8257,0,[2],[6155],"",10,1,10,0,150,800
7,8259,0,"[3,1]",[6168],"",0,1,-30,0,150,800
8,8261,0,"[1,3]","[6150,9415]","",0,1,-30,0,150,800
9,8263,0,[2],"[6155,1614]","",10,1,10,0,150,800
10,8265,0,"[3,1]",[6168],"",0,1,-30,0,150,800
11,8266,0,"[1,3]","[6150,9415]","",0,1,-30,0,150,800
12,8267,0,[2],"[6155,1614]","",10,1,10,0,150,800
13,8268,0,"[3,1]",[6169],"",0,1,-30,0,150,800
14,8269,0,"[1,3]",[6150],"",0,1,-30,0,150,800
15,8312,0,"[3,1]","[6199,9415]","",0,1,-30,0,150,800
16,8314,0,[3],"[6200,9415]","",0,1,-30,0,150,800
17,8314,1,[1],[],"",0,1,-30,0,150,800
18,8316,0,"[1,3]","[6201,9415]","",0,1,-30,0,150,800
19,8318,0,"[1,3]","[6202,9415]","",0,1,-30,0,150,800
20,8320,0,[2],[6762],"",10,1,-15,0,150,800
21,8322,0,[2],[3874],"",10,1,10,0,150,800
22,8324,0,[2],[],8108,10,1,5,0,150,800
23,8326,0,"[3,1]","[6199,9415]","",0,1,-30,0,150,800
24,8327,0,[3],"[6200,9415]","",0,1,-30,0,150,800
25,8327,1,[1],[],"",0,1,-30,0,150,800
26,8328,0,"[1,3]","[6201,9415]","",0,1,-30,0,150,800
27,8329,0,"[1,3]","[6202,9415]","",0,1,-30,0,150,800
28,8331,0,[2],[6762],"",10,1,-15,0,150,800
29,8332,0,[2],[3874],"",10,1,10,0,150,800
30,8333,0,[2],[],8108,10,1,5,0,150,800
31,8334,0,[3],"[6200,9415]","",0,1,-30,0,150,800
32,8334,1,[1],[],"",0,1,-30,0,150,800
33,8336,0,"[1,3]","[6202,9415]","",0,1,-30,0,150,800
34,8338,0,"[3,1]",[6203],"",0,1,-15,0,150,800
35,8340,0,[2],[3874],"",10,1,10,0,150,800
36,8342,0,[3],"[6200,9415]","",0,1,-30,0,150,800
37,8342,1,[1],[],"",0,1,-30,0,150,800
38,8343,0,"[1,3]","[6202,9415]","",0,1,-30,0,150,800
39,8344,0,"[3,1]",[6203],"",0,1,-15,0,150,800
40,8345,0,[2],[3874],"",0,1,10,0,150,800
41,8346,0,"[3,1]",[6204],"",0,1,-30,0,150,800
42,8347,0,[2],[3875],"",10,1,10,0,150,800
43,8273,0,[2],[9424],"",0,1,0,0,150,800
44,8279,0,[1],[6778],"",0,1,0,0,150,800
45,8281,0,[1],[6778],"",0,1,0,0,150,800
46,8283,0,[1],[6778],"",0,1,0,0,150,800
47,8286,0,[1],[6778],"",0,1,0,0,150,800
48,8288,1,[2],[574],"",0,1,0,0,150,800
49,8291,0,[1],[6778],"",0,1,0,0,150,800
50,8310,0,[1],[6778],"",0,1,0,0,150,800
51,8276,0,[1],[6778],"",0,1,0,0,150,800
52,8277,0,[1],[6778],"",0,1,0,0,150,800
53,8292,0,[2],[8107],"",0,1,15,0,150,800
54,8293,0,[2],[8107],"",0,1,15,0,150,800
55,8294,0,[2],[8107],"",0,1,15,0,150,800
56,8296,0,[2],[8105],"",0,1,15,0,150,800
57,8298,0,[2],[8105],"",0,1,15,0,150,800
58,8299,0,[2],[8105],"",0,1,15,0,150,800
59,8301,0,[2],[],"",0,1,0,0,150,800
60,8302,0,[2],[],"",0,1,0,0,150,800
61,8303,0,[2],[],"",0,1,0,0,150,800
62,8305,0,[2],[6234],"",5,1,-30,0,150,800
63,8306,0,[2],[6234],"",5,1,-30,0,150,800
64,8307,0,[2],[6234],"",5,1,-30,0,150,800
65,8358,0,[3],[],"",0,1,0,1,150,800
66,8361,0,[1],[],"",0,1,0,1,150,800
67,8362,0,[1],[],"",0,1,0,1,150,800
68,8365,0,[2],[6219],"",0,1,-30,0,150,800
69,8367,0,[2],[6773],"",0,1,-30,0,150,800
