"rownum","Id","InventoryIdKey","InventoryTypeKey","i32","bool","bool","bool"
0,"MainInventory1",0,12,327680,"","",""
1,"BodyArmour1",1,2,196865,"","",""
2,"Weapon1",2,2,262401,"","",""
3,"Offhand1",3,2,262401,"","",""
4,"Helm1",4,2,131329,"","",""
5,"Amulet1",5,1,65793,"","",""
6,"Ring1",6,1,65793,"","",""
7,"Ring2",6,1,65793,"","",""
8,"Gloves1",7,2,131329,"","",""
9,"Boots1",8,2,131329,"","",""
10,"Belt1",9,2,65793,"","",""
11,"Flask1",10,5,131328,"","",""
12,"Cursor1",11,3,262145,"","",""
13,"Map1",12,3,131072,"","",""
14,"Weapon2",2,2,262145,"","",""
15,"Offhand2",3,2,262145,"","",""
16,"StrMasterCrafting",15,2,262145,"","",""
17,"StrDexMasterCrafting",15,2,262145,"","",""
18,"DexMasterCrafting",15,2,262145,"","",""
19,"DexIntMasterCrafting",15,2,262145,"","",""
20,"IntMasterCrafting",15,2,262145,"","",""
21,"StrIntMasterCrafting",15,2,262145,"","",""
22,"PVPMasterCrafting",15,2,262145,"","",""
23,"PassiveJewels1",13,57,65536,"","",""
24,"AnimatedArmour1",14,10,262144,"","",""
25,"GuildTag1",12,6,65536,"","",""
26,"StashInventoryId",17,1,65536,"","",""
27,"DivinationCardTrade",15,2,262145,"","",""
28,"Darkshrine",15,2,262145,"","",""
29,"TalismanTrade",15,5,65536,"","",""
30,"Leaguestone1",16,3,65536,"","",""
31,"BestiaryCrafting",15,2,262145,"","",""
32,"IncursionSacrifice",15,2,327680,"","",""
33,"BetrayalUnveiling",15,2,262145,"","",""
34,"ItemSynthesisInput",15,6,262144,"","",""
35,"ItemSynthesisOutput",15,2,262145,"","",""
36,"BlightCraftingInput",15,4,65536,"","",""
37,"BlightCraftingItem",15,2,262145,"","",""
38,"MetamorphosisGenomeInput",15,5,65536,"","",""
39,"AtlasUpgrades1",28,4,65536,"","",1
40,"AtlasUpgradesStorage",28,4,65536,"","",1
41,"ExpeditionMapMission",15,1,65537,"","",""
42,"ExpeditionDeal1",15,2,262145,"","",""
43,"HarvestCraftingItem",15,2,262145,"","",""
44,"HeistContractMission",15,1,65537,"","",""
45,"HeistNpcEquipment1",34,7,131072,"","",1
46,"HeistNpcEquipment2",34,7,131072,"","",1
47,"HeistNpcEquipment3",34,7,131072,"","",1
48,"HeistNpcEquipment4",34,7,131072,"","",1
49,"HeistNpcEquipment5",34,7,131072,"","",1
50,"HeistNpcEquipment6",34,7,131072,"","",1
51,"HeistNpcEquipment7",34,7,131072,"","",1
52,"HeistNpcEquipment8",34,7,131072,"","",1
53,"HeistNpcEquipment9",34,7,131072,"","",1
54,"Trinket1",35,1,65793,"","",""
55,"HeistBlueprintMission",15,1,65537,"","",""
56,"HeistStorage1",36,107,786432,"","",1
57,"RitualSavedRewards1",37,100,262144,"","",""
58,"DONOTUSE1",12,3,131072,"","",1
59,"DONOTUSE2",12,3,131072,"","",1
60,"DONOTUSE3",12,3,131072,"","",1
61,"DONOTUSE4",12,3,131072,"","",1
62,"RESERVED1",41,11,393216,"","",""
63,"RESERVED2",42,5,327680,"","",""
64,"RESERVED3",43,3,65536,"","",""
65,"RESERVED4",12,64,327680,"","",""
66,"UltimatumCraftingItem",44,2,262145,"","",""
67,"RESERVED5",41,1,65537,"","",""
68,"RESERVED6",41,5,327680,"","",""
69,"ExpeditionStorage1",29,14,589824,"","",1
70,"HellscapeModificationInventory1",45,6,327680,"","",""
71,"LabyrinthCraftingInput",15,1,65537,"","",""
72,"SentinelDroneInventory1",48,6,131072,"","",""
73,"SentinelStorage1",49,37,655360,"","",1
74,"LakeTabletInventory1",50,1,65537,"","",""
75,"MemoryLineMaps",12,5,65536,"","",1
