"rownum","rid","[i32]","rid"
0,3783,"[0,10000,500000,2000000]",16063
1,3791,"[0,150,500,1000,1500]",572
2,3790,"[0,150,500,1000,1500]",575
3,3854,"[74,75]",306
4,3853,"[74,75]",307
5,3855,"[74,75]",308
6,3856,"[74,75]",15975
7,3795,"[0,25,50,100,200,250,325]",242
8,3796,"[0,25,50,100,200,250,325]",242
9,3797,"[0,25,50,100,200,250,325]",242
10,3798,"[0,25,50,100,200,250,325]",242
11,3799,"[0,25,50,100,200,250,325]",242
12,3809,"[0,1,3,7,13,25,30]",16131
13,3810,"[0,1,3,7,13,25,30]",16131
14,3811,"[0,1,3,7,13,25,30]",16131
15,3812,"[0,1,3,7,13,25,30]",16131
16,3813,"[0,1,3,7,13,25,30]",16131
17,3800,"[0,20,30]",16129
18,3801,"[0,20,30]",16129
19,3802,"[0,20,30]",16129
20,3803,"[0,20,30]",16129
21,3825,"[0,1,3,5,7,9,11,12]",16207
22,3826,"[0,1,3,5,7,9,11,12]",16207
23,3827,"[0,1,3,5,7,9,11,12]",16207
24,3828,"[0,1,3,5,7,9,11,12]",16207
25,3845,"[0,1,5,10]",16183
26,3846,"[0,1,5,10]",16183
27,3847,"[0,1,5,10]",16183
28,3848,"[0,1,5,10]",16183
29,3821,"[0,20,40,60,80,90,100]",0
30,3822,"[0,20,40,60,80,90,100]",0
31,3823,"[0,20,40,60,80,90,100]",0
32,3824,"[0,20,40,60,80,90,100]",0
33,3837,"[0,1,3,5,7,9,11,13]",2651
34,3838,"[0,1,3,5,7,9,11,13]",2651
35,3839,"[0,1,3,5,7,9,11,13]",2651
36,3840,"[0,1,3,5,7,9,11,13]",2651
37,3774,"[0,1,10,15,20,25]",15962
38,3804,"[0,50,100,150,200,250,300,350]",572
39,3805,"[0,50,100,150,200,250,300,350]",578
40,3806,"[0,50,100,150,200,250,300,350]",575
41,3807,"[0,100,200,300,400,500,600,700]",16737
42,3808,"[0,50,100,150,200,250,300,350]",15429
43,3946,"[0,50,100,150,200]",779
44,3945,"[0,50,100,150,200]",779
45,3944,"[0,50,100,150,200]",779
46,4273,"[0,10,20,30,40,50,60]",15972
47,3775,"[0,12,20,29]",16605
48,3776,"[0,14,22,32]",16605
49,3780,"[0,16,24,35]",16605
50,3778,"[0,18,26,38]",16605
51,3971,"[0,20,50,100]",16485
52,3973,"[0,20,50,100]",16485
53,3972,"[0,20,50,100]",16485
54,3974,"[0,20,50,100]",16485
