"rownum","Id","QuestState","i32","i32","i32","i32","i32","[rid]","[rid]","bool","bool"
0,"EnterLioneyesWatch",124,0,0,0,4000,0,[],[],"",""
1,"EnterCannibalBay",125,0,0,0,4000,0,[],[],"",""
2,"EnterTidalIsland",126,0,0,0,4000,0,[],[],"",""
3,"EnterMudFlats",30,0,0,0,4000,0,[],[],"",""
4,"EnterFetidPool",127,0,0,0,4000,0,[],[],"",""
5,"EnterSubmergedPassage",27,0,0,0,4000,0,[],[],"",""
6,"EnterFloodedDepths",128,0,0,0,4000,0,[],[],"",""
7,"EnterLedge",3,0,0,0,4000,0,[],[],"",""
8,"EnteringSavageClimb",129,0,0,0,4000,0,[],[],"",""
9,"EnterPrison",130,0,0,0,4000,0,[],[],"",""
10,"EnterWardensChamber",514,0,0,0,5000,0,[],[],"",""
11,"EnterPrisonersGate",26,0,0,0,4000,0,[],[],"",""
12,"EnterShipGraveyard",33,0,0,0,4000,0,[],[],"",""
13,"EnterShipCave",131,0,0,0,4000,0,[],[],"",""
14,"EnterCavernOfWrath",132,0,0,0,4000,0,[],[],"",""
15,"EnterSouthernForest",10,0,0,0,4000,0,[],[],"",""
16,"EnterForestEncampment",133,0,0,0,4000,0,[],[],"",""
17,"EnterOldFields",134,0,0,0,4000,0,[],[],"",""
18,"EnterDen",135,0,0,0,4000,0,[],[],"",""
19,"EnterCrossroads",136,0,0,0,4000,0,[],[],"",""
20,"EnterFellshrineRuins",147,0,0,0,4000,0,[],[],"",""
21,"EnterFellshrineCrypt",138,0,0,0,4000,0,[],[],"",""
22,"EnterChamberofSins",101,0,0,0,4000,0,[],[],"",""
23,"EnterRiverways",139,0,0,0,4000,0,[],[],"",""
24,"EnterNorthernForest",140,0,0,0,4000,0,[],[],"",""
25,"EnterWeaversChambers",142,0,0,0,4000,0,[],[],"",""
26,"EnterWesternForest",141,0,0,0,4000,0,[],[],"",""
27,"EnterVaalRuins",143,0,0,0,4000,0,[],[],"",""
28,"EnterWetlands",144,0,0,0,4000,0,[],[],"",""
29,"EnterWaterfallCave",146,0,0,0,4000,0,[],[],"",""
30,"EnterCityOfSarn",149,0,0,0,4000,0,[],[527],"",""
31,"EnterSarnEncampment",150,0,0,0,4000,0,[],[],"",""
32,"EnterSlums",151,0,0,0,4000,0,[],[],"",""
33,"EnterCrematorium1",152,0,0,0,3000,0,[],[],"",""
34,"EnterSewerAqueduct",159,0,0,0,4000,0,[],[],"",""
35,"EnterMarkets",154,0,0,0,4000,0,[],[],"",""
36,"EnterCatacombs",155,0,0,0,4000,0,[],[],"",""
37,"EnterBattleFront",156,0,0,0,4000,0,[],[],"",""
38,"EnterSolarisTemple",157,0,0,0,4000,0,[],[],"",""
39,"EnterDocks",158,0,0,0,4000,0,[],[],"",""
40,"EnterBarracks",162,0,0,0,4000,0,[],[516],"",""
41,"EnterLunarisTemple",163,0,0,0,4000,0,[],[],"",""
42,"EnterLunaris2",660,0,0,0,4000,0,[563],[523],"",""
43,"EnterGardens",164,0,0,0,4000,0,[],[],"",""
44,"EnterLibrary",166,0,0,0,4000,0,[],[],"",""
45,"EnterSceptreOfGod",167,0,0,0,4000,0,[],[528],"",""
46,"EnterAqueduct",673,0,0,0,4000,0,[566],[],"",""
47,"EnterDriedLake",674,0,0,0,4000,0,[],[518],"",""
48,"EnterMines1",804,0,0,0,8000,0,[],[525],"",""
