"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]"
0,73,"","","","","","","","","","","","",1835,3089,"","",3089,"","","","","",-1010710615,1,47,"[12243,12259]",0,1,700,1823,"","","",1835,3089,"",3089,3089,3089,3089,1835,1823,1835,1835,1835,1835,1823,1823,1823,1823,1823,1823,1823,12096,35,3089,3584,3584,3584,3089,"","","[12251,12259]"
1,74,"","","","","","","","","","","","",1836,3090,"","",3090,"","","","","",1794042691,12,67,"[12244,12259]",0,2,770,1824,"","","",1836,3090,"",3090,3090,3090,3090,1836,1824,1836,1836,1836,1836,1824,1824,1824,1824,1824,1824,1824,12097,45,3090,3585,3585,3585,3090,"","","[12252,12259]"
2,75,"","","","","","","","","","","","",1838,3091,"","",3091,"","","","","",-1926556014,30,100,"[12245,12259]",0,3,847,1826,"","","",1838,3091,"",3091,3091,3091,3091,1838,1826,1838,1838,1838,1838,1826,1826,1826,1826,1826,1826,1826,12098,60,3091,3586,3586,3586,3091,"","","[12253,12259]"
3,76,"","","","","","","","","","","","",1840,3092,"","",3092,"","","","","",1130285480,48,100,"[12246,12259]",0,4,931,1828,"","","",1840,3092,"",3092,3092,3092,3092,1840,1828,1840,1840,1840,1840,1828,1828,1828,1828,1828,1828,1828,12099,75,3092,3587,3587,3587,3092,"","","[12254,12259]"
4,77,"","","","","","","","","","","","",1842,3094,"","",3094,"","","","","",2062300730,68,100,"[12247,12259]",0,5,1024,1830,"","","",1842,3094,"",3094,3094,3094,3094,1842,1830,1842,1842,1842,1842,1830,1830,1830,1830,1830,1830,1830,12100,0,3094,3588,3588,3588,3094,"",1,"[12255,12259]"
5,78,"","","","","","","","","","","","",1843,3095,"","",3095,"","","","","",-2071586625,0,0,"[12248,12259]",0,6,0,1831,"","","",1843,3095,"",3095,3095,3095,3095,1843,1831,1843,1843,1843,1843,1831,1831,1831,1831,1831,1831,1831,12101,0,3095,3589,3589,3589,3095,"","","[12256,12259]"
6,79,"","","","","","","","","","","","",1855,3096,"","",3096,"","","","","",1769493148,0,0,"[12249,12259]",0,7,0,1833,"","","",1855,3096,"",3096,3096,3096,3096,1855,1833,1855,1855,1855,1855,1833,1833,1833,1833,1833,1833,1833,12102,0,3096,3590,3590,3590,3096,"","","[12257,12259]"
7,80,"","","","","","","","","","","","","",13223,1942,617,617,"","","","","",-777397213,1,47,[12243],1,1,700,"","",2277,2289,"",699,"",699,699,699,699,2289,2277,2289,2289,2289,2289,2277,2277,2277,2277,2277,2277,2277,12188,35,617,1942,617,"",699,"","",[12251]
8,81,"","","","","","","","","","","","","",13224,1943,618,618,"","","","","",1672586153,12,67,[12244],1,2,770,"","",2278,2290,"",700,"",700,700,700,700,2290,2278,2290,2290,2290,2290,2278,2278,2278,2278,2278,2278,2278,12189,45,618,1943,618,"",700,"","",[12252]
9,82,"","","","","","","","","","","","","",13229,1944,621,621,"","","","","",1828846209,30,100,[12245],1,3,847,"","",2279,2291,"",702,"",702,702,702,702,2291,2279,2291,2291,2291,2291,2279,2279,2279,2279,2279,2279,2279,12190,60,621,1944,621,"",702,"","",[12253]
