"rownum","Mod","Type","bool"
0,30198,2,""
1,30199,2,""
2,30200,2,""
3,30201,2,""
4,30202,2,""
5,30203,2,""
6,30204,2,""
7,30205,2,""
8,30206,2,""
9,30207,2,""
10,30208,2,""
11,30209,2,""
12,30210,1,""
13,30211,1,""
14,30212,1,""
15,30213,1,""
16,30214,1,""
17,30215,1,""
18,30216,1,""
19,30217,1,""
20,30218,1,""
21,30219,1,""
22,30220,1,""
23,30221,1,""
24,30222,1,""
25,30223,0,""
26,30224,0,""
27,30225,0,""
28,30226,0,""
29,30227,0,""
30,30228,0,""
31,30229,0,""
32,30230,0,""
33,30231,0,""
34,30232,0,""
35,30233,0,""
36,30234,0,""
37,30235,0,""
38,30236,0,""
39,30237,2,""
40,30238,2,""
41,30239,2,""
42,30240,2,""
43,30241,2,""
44,30242,2,""
45,30243,2,""
46,30244,2,""
47,30245,2,""
48,30246,2,""
49,30247,2,""
50,30248,2,""
51,30250,2,""
52,30252,1,""
53,30253,1,""
54,30254,1,""
55,30255,1,""
56,30256,1,""
57,30257,1,""
58,30258,1,""
59,30259,1,""
60,30260,1,""
61,30261,1,""
62,30262,1,""
63,30263,1,""
64,30264,1,""
65,30266,0,""
66,30267,0,""
67,30268,0,""
68,30269,0,""
69,30270,0,""
70,30271,0,""
71,30272,0,""
72,30273,0,""
73,30274,0,""
74,30275,0,""
75,30276,0,""
76,30277,2,1
77,30278,2,1
78,30279,1,""
79,30280,1,""
80,30281,1,""
81,30282,2,1
82,30283,2,1
83,30284,1,""
84,30285,1,""
85,30286,1,""
86,30287,1,""
87,30288,1,""
88,30289,1,""
89,30290,1,""
90,30291,1,""
91,30292,2,1
92,30293,2,1
93,30294,2,1
94,30295,2,1
95,30296,2,1
96,30297,2,1
97,30298,2,1
98,30299,0,""
99,30300,0,""
100,30301,0,""
101,30302,0,""
102,30303,0,""
103,30304,0,""
104,30305,0,1
