"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","rid","rid","QuestKey","i32","i32","i32","i32","[rid]","string","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","string","rid","rid","string","i32","i32","i32","i32"
0,1,0,"Introduction",[],[],[13],"",13,3,"",13,0,0,0,"[0,1,2,3,4,5,6]","",1,"",[],[],1275,[],1275,"","","","","","","","",0,168,0,46
1,1,1,"The Medicine Chest",[49],[41],[42],"",42,5,"",42,0,0,0,[7],"","","",[],[],1275,[],1275,"","","","","","","","",0,272,0,46
2,1,2,"Medicine Chest Reward",[42],[41],[40],"",40,6,1,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,366,0,46
3,1,3,"Medicine Chest Reward 2",[42],[1877],[1876],"",1876,6,2,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,464,0,46
4,1,4,"Tarkleigh",[14],[],[278],"","",3,"",278,0,0,0,[8],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,534,0,46
5,1,5,"Lioneye's Watch",[],[42],[39],"",39,5,"",39,0,0,0,[9],"","","",[],[],1275,[],1275,"","","","","","","","",0,616,0,46
6,1,6,"Lioneye's Watch",[42],[],[39],"","",3,"",39,0,0,0,[10],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,664,0,46
7,1,7,"Piety",[587],[],[279],"","",3,"",279,0,0,0,[11],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,726,0,46
8,1,8,"Rhoas",[30],[],[281],"","",3,"",281,0,0,0,[12],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,788,0,46
9,1,9,"Bestel",[31],[],[282],"","",3,"",282,0,0,0,[13],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,852,0,46
10,1,10,"Brutus",[130],"[797,0]",[284],"",284,5,"",284,0,0,0,[14],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,948,0,46
11,1,11,"Prison Reward",[284],"[797,0]",[798],"",798,6,8,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,1042,0,46
12,1,12,"Brutus",[5],[],[43],"",43,3,"",43,0,0,0,[15],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,1090,0,46
13,1,13,"Prison Reward",[43],[797],[798],"",798,6,8,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,1138,0,46
14,1,14,"Reopened Passage",[233],[],[285],"","",3,"",285,0,0,0,[16],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,1222,0,46
15,1,15,"Merveil",[33],[9],[8],"",8,5,"",8,0,0,0,[17],"","","",[],[],1275,[],1275,"","","","","","","","",0,1304,0,46
16,1,16,"Merveil's Lair",[132],"[72,0]","[73,0]","",73,5,"",73,0,0,0,[18],"","","",[],[],1275,[],1275,"","","","","","","","",0,1432,0,46
17,1,17,"Merveil Reward",[73],"[72,0]",[38],"",38,6,10,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,1528,0,46
18,1,18,"Merveil",[9],[],"[34,0]","",272,3,"",272,0,0,0,[19],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,1592,0,46
19,1,19,"Merveil Reward",[272],[72],[38],"",38,6,10,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,1640,0,46
20,1,20,"Purchase Items",[],[],[],"","",23,"",71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","",1,"","",0,1672,0,46
21,1,21,"Sell Items",[],[],[],"","",24,"",71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","",0,"","",0,1696,0,46
22,0,0,"Introduction",[],[2],[14],"",14,3,"",14,0,0,0,[20],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,1744,0,46
23,0,1,"Introduction",[2],[],[14],"","",3,"",14,0,0,0,[21],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,1792,0,46
24,0,2,"Hillock Reward",[0],[2],[12],"",12,6,0,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,1872,0,46
25,0,3,"Brutus",[130],[5],[4],"",4,5,"",4,0,0,0,[22],"","","",[],[],1275,[],1275,"","","","","","","","",0,1936,0,46
26,0,4,"Brutus",[5],[6],[28],"",28,5,"",28,0,0,0,[23],"","","",[],[],1275,[],1275,"","","","","","","","",0,2000,0,46
27,0,5,"Brutus Reward",[5],[6],[15],"",15,6,7,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,2078,0,46
28,0,6,"Lioneye's Watch",[],[],[286],"","",3,"",286,0,0,0,[24],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2110,0,46
29,0,7,"Drowned Dead",[],[],[287],"","",3,"",287,0,0,0,[25],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2170,0,46
30,0,8,"Merveil",[8],[9],[288],"","",3,"",288,0,0,0,[26],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2234,0,46
31,0,9,"Rhoas",[30],[],[29],"","",3,"",29,0,0,0,[27],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2282,0,46
32,0,10,"Cannibals",[126],[],[290],"","",3,"",290,0,0,0,[28],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2352,0,46
33,0,11,"Bestel",[31],[],[291],"","",3,"",291,0,0,0,[29],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2400,0,46
34,0,12,"Merveil",[9],[],[32],"",32,3,"",32,0,0,0,[30],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2448,0,46
35,0,13,"Nessa",[13],[],[292],"","",3,"",292,0,0,0,[31],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2510,0,46
36,0,14,"Glyph Wall",[25],[24],[293],"",293,5,"",293,0,0,0,[32],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2598,0,46
37,0,15,"Strange Glyphs",[23],[24],[294],"",294,5,"",294,0,0,0,[33],"",1,"",[],[],1275,[],1275,"","","","","","","","",0,2694,0,46
38,0,16,"Dweller of the Deep",[24],[116],[113],"",113,5,"",113,0,0,0,[34],"","","",[],[],1275,[],1275,"","","","","","","","",0,2800,0,46
39,0,17,"Glyph Reward",[24],[36],[35],"",35,6,3,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,2876,0,46
40,0,18,"Glyph Reward 2",[24],[2148],[2147],"",2147,6,4,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,2956,0,46
41,0,19,"Dweller of the Deep",[115],"[494,0]",[358],"",358,5,"",358,0,0,0,[35],"","","",[],[],1275,[],1275,"","","","","","","","",0,3036,0,46
42,0,20,"Dweller Reward",[358],"[494,0]",[359],"",359,6,6,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,3132,0,46
43,0,21,"The Fetid Pool",[223],"[40,0]",[224],"",224,5,"",224,0,0,0,[36],"","","",[],[],1275,[],1275,"","","","","","","","",0,3244,0,46
44,0,22,"The Fetid Pool",[127],"[40,0,0]",[224],"",224,5,"",224,0,0,0,[37],"","","",[],[],1275,[],1275,"","","","","","","","",0,3340,0,46
45,0,23,"The Fetid Pool",[40],[227],[224],"",224,5,"",224,0,0,0,[36],"","","",[],[],1275,[],1275,"","","","","","","","",0,3404,0,46
46,0,24,"The Necromancer",[227],"[507,0]",[506],"",506,5,"",506,0,0,0,[38],"","","",[],[],1275,[],1275,"","","","","","","","",0,3518,0,46
47,0,25,"Necromancer Reward",[506],"[507,0]",[508],"",508,6,5,71,0,0,0,[],"","","",[],[],1275,[],1275,"","","","","","","","",0,3622,0,46
48,0,26,"The Blocked Road",[230],[233],[295],"","",5,"",295,0,0,0,[39],"","","",[],[],1275,[],1275,"","","","","","","","",0,3722,0,46
