"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,20131,"Quality (Elemental Damage Modifiers)",280,0
1,20132,"Quality (Caster Modifiers)",281,1
2,20133,"Quality (Attack Modifiers)",282,2
3,20134,"Quality (Defence Modifiers)",283,3
4,20135,"Quality (Life and Mana Modifiers)",284,4
5,20136,"Quality (Resistance Modifiers)",285,5
6,20137,"Quality (Attribute Modifiers)",286,6
7,20138,"Quality (Physical and Chaos Damage Modifiers)",287,7
8,20139,"Quality (Speed Modifiers)",288,8
9,20140,"Quality (Critical Modifiers)",289,9
