"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3017,"[3,5,5]"
12,1231,2,1,"",3018,"[0,11,11]"
13,1232,2,2,"",3019,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3020,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3021,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3022,"[4,7,7]"
21,2981,1,0,11,3023,"[2,3]"
22,2982,1,1,11,3024,"[3,5]"
23,2983,1,2,11,3025,"[3,7]"
24,2984,0,0,21,3026,[1]
25,2985,0,0,22,3027,[2]
26,2986,0,0,23,3028,[3]
27,2987,1,0,12,3029,"[5,9]"
28,2988,1,1,12,3030,"[5,11]"
29,2989,1,2,12,3031,"[0,1]"
30,2990,0,0,27,3032,[4]
31,2991,0,0,28,3033,[5]
32,2992,0,0,29,3034,[0]
33,2993,1,0,13,3035,"[1,1]"
34,2994,1,1,13,3036,"[2,3]"
35,2995,1,2,13,3037,"[3,5]"
36,2996,0,0,33,3038,[0]
37,2997,0,0,34,3039,[1]
38,2998,0,0,35,3040,[2]
39,2999,1,0,15,3041,"[5,11]"
40,3000,1,1,15,3042,"[1,1]"
41,3001,1,2,15,3043,"[2,3]"
42,3002,0,0,39,3044,[5]
43,3003,0,0,40,3045,[0]
44,3004,0,0,41,3046,[1]
45,3005,1,0,17,3047,"[4,7]"
46,3006,1,1,17,3048,"[5,9]"
47,3007,1,2,17,3049,"[5,11]"
48,3008,0,0,45,3050,[3]
49,3009,0,0,46,3051,[4]
50,3010,0,0,47,3052,[5]
51,3011,1,0,20,3053,"[3,5]"
52,3012,1,1,20,3054,"[4,7]"
53,3013,1,2,20,3055,"[5,9]"
54,3014,0,0,51,3056,[2]
55,3015,0,0,52,3057,[3]
56,3016,0,0,53,3058,[4]
