"rownum","Id","QuestKey","rid","i32","RewardWindowTake","bool","bool","RewardWindowTitle"
0,"a1q1",0,2,1275,"","","",""
1,"a1q5",1,41,1275,"","","",""
2,"a1q5b",1,1877,1275,"","","",""
3,"a1q4",2,36,1275,"","","",""
4,"a1q4b",2,2148,1275,"","","",""
5,"a1q8",3,"",1275,"","",1,""
6,"a1q7",4,"",1275,"","",1,""
7,"a1q2",5,6,1275,"","","",""
8,"a1q2b",5,797,1275,"","","",""
9,"a1q6",6,"",1275,"","",1,""
10,"a1q3",7,72,1275,"","","",""
11,"a1q9",8,"",1275,"","",1,""
12,"a2q5",10,"",1275,"","",1,""
13,"a2q5b",10,824,1275,"","","",""
14,"a2q6",11,108,1275,"","","",""
15,"a2q10",12,248,1275,"","","",""
16,"a2q4",13,106,1275,"","","",""
17,"a2q9b_tencent",14,2549,1275,"",1,"",""
18,"a2q7",15,"",1275,"","",1,""
19,"a3q1",21,173,1275,"","","",""
20,"a3q2",22,"",1275,"","",1,""
21,"a3q11",23,"",1275,"","",1,""
22,"a3q4",25,189,1275,"","","",""
23,"a3q5",26,"",1275,"","",1,""
24,"a3q8",27,212,1275,"","","",""
25,"a3q12",28,493,1275,"","","",""
26,"a3q13",29,197,1275,"","","",""
27,"a3q9",30,"",1275,"","",1,""
28,"d2c1",32,521,1275,"","","",""
29,"d2c2",33,522,1275,"","","",""
30,"a4q1",34,688,1275,"","","",""
31,"a4q2",35,665,1275,"","","",""
32,"a4q6",39,"",1275,"","",1,""
33,"a4q6b_tencent",39,2555,1275,"",1,"",""
34,"bandit_respec",50,"",1275,3796,"",1,3801
35,"a5q1b",63,1054,1275,"","","",""
36,"a5q2",64,1062,1275,"","","",""
37,"a5q3",65,"",1275,"","",1,""
38,"a5q4",66,1074,1275,"","","",""
39,"a5q5",67,1080,1275,"","","",""
40,"a5q7",69,"",1275,"","",1,""
41,"a6q2",71,1170,1275,"","","",""
42,"a6q3",72,"",1275,"","",1,""
43,"a6q4",73,"",1275,"","",1,""
44,"a6q5",74,1253,1275,"","","",""
45,"a6q6",75,"",1275,"","",1,""
46,"a6q7",76,"",1275,"","",1,""
47,"a7q1",77,"",1275,"","",1,""
48,"a7q2",78,1278,1275,"","","",""
49,"a7q3",79,"",1275,"","",1,""
50,"a7q5",81,1308,1275,"","","",""
51,"a7q6",82,"",1275,"","",1,""
52,"a7q8",84,1376,1275,"","","",""
53,"a7q8_offer",84,"",1275,3796,"",1,3801
54,"a7q9",85,"",1275,"","",1,""
55,"a8q1",86,1421,1275,"","","",""
56,"a8q4",89,"",1275,"","",1,""
57,"a8q5",90,1441,1275,"","","",""
58,"a8q6",91,"",1275,"","",1,""
59,"a8q7",92,"",1275,"","",1,""
60,"a9q2",94,"",1275,"","",1,""
61,"a9q3",95,1627,1275,"","","",""
62,"a9q4",96,"",1275,"","",1,""
63,"a9q5",97,"",1275,"","",1,""
64,"a9q5_offer",97,"",1275,3796,"",1,3801
65,"a10q1",98,1645,1275,"","","",""
66,"a10q2",99,1652,1275,"","","",""
67,"a10q3",100,"",1275,"","",1,""
68,"a10q4",101,"",1275,"","",1,""
69,"a10q5",102,1680,1275,"","","",""
70,"a10q6",103,"",1275,"","",1,""
71,"atlas",174,"",216,"","","",""
72,"heist_tutorial",126,"",1275,3796,"",1,3801
73,"heist_quest_karst2",128,"",1275,3796,"",1,3801
74,"heist_quest_karst3",129,"",1275,3796,"",1,3801
75,"heist_quest_tibbs2",131,"",1275,3796,"",1,3801
76,"heist_quest_tullina2",139,"",1275,3796,"",1,3801
77,"heist_quest_faustus2",154,"",1275,3796,"",1,3801
78,"heist_quest_kurai4",159,"",871,"","","",""
79,"heist_quest_karst1",127,"",942,"","","",""
80,"heist_quest_karst2_2",128,"",943,"","","",""
81,"heist_quest_karst3_2",129,"",944,"","","",""
82,"heist_quest_tibbs1",130,"",945,"","","",""
83,"heist_quest_tibbs2_2",131,"",946,"","","",""
84,"heist_quest_huck1",132,"",947,"","","",""
85,"heist_quest_huck2",133,"",948,"","","",""
86,"heist_quest_vinderi1",134,"",949,"","","",""
87,"heist_quest_vinderi2",135,"",950,"","","",""
88,"heist_quest_gianna1",136,"",951,"","","",""
89,"heist_quest_gianna2",137,"",952,"","","",""
90,"heist_quest_tullina1",138,"",953,"","","",""
91,"heist_quest_tullina2_2",139,"",954,"","","",""
92,"heist_quest_niles1",140,"",955,"","","",""
93,"heist_quest_niles2",141,"",956,"","","",""
94,"heist_quest_nenet1",142,"",957,"","","",""
95,"heist_quest_nenet2",143,"",958,"","","",""
96,"heist_quest_isla1",144,"",959,"","","",""
97,"heist_quest_isla2",145,"",960,"","","",""
98,"heist_quest_isla3",146,"",961,"","","",""
99,"heist_quest_adiyah1",147,"",962,"","","",""
100,"heist_quest_adiyah2",148,"",963,"","","",""
101,"heist_quest_adiyah3",149,"",964,"","","",""
