"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[14894]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[14894,15072]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15067]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15067,15072]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15068]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15068,15072]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15069]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15069,15072]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15070]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15070,15072]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15071]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15071,15072]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14883]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14883,14884]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[14883]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[14883]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[14883]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[14883]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14885]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14885,14884]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[14885]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[14885]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[14885]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[14885]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[14886]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[14886,14884]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[14886]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[14886]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[14886]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[14886]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[14887]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[14887,14884]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[14887]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[14887]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[14887]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[14887]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[14888]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[14888,14884]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[14888]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[14888]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[14888]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[14888]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[14891,14889]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[14891,14889,14884]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[14891,14889]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[14891,14889]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[14891,14889]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[14891,14889]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[14892,14890]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[14892,14890,14884]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[14892,14890]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[14892,14890]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[14892,14890]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[14892,14890]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[14893,14883]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[14893,14891]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[14883,14884,19627]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[14883,14884,19627]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[14883,14884,19627]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[14883,14884,19627]"
