"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5441,100,0,25,100
1,5442,100,0,25,100
2,5443,100,0,25,100
3,5444,100,0,25,100
4,5445,100,0,25,100
5,5446,100,10,100,100
6,5447,100,10,100,100
7,5448,100,10,100,100
8,5449,100,10,100,100
9,5450,100,25,100,100
10,5451,100,25,100,100
11,5454,100,25,100,100
12,5457,100,25,100,100
13,5460,100,25,100,100
14,5463,100,46,100,100
15,5466,100,46,100,100
16,5469,100,46,100,100
17,5472,100,46,100,100
18,5475,100,46,100,100
19,5478,20,60,100,40
20,5479,20,60,100,40
21,5480,20,60,100,40
22,5481,20,60,100,40
23,5482,20,60,100,40
24,5483,20,60,100,40
25,5484,20,60,100,40
26,5485,20,60,100,40
27,5486,20,60,100,40
