"rownum","BaseType","Type","i32","i32","i32","Visual","i32","UseAchievement","bool"
0,9670,0,8,30,15,1763,5,8669,""
1,9671,0,10,30,25,1753,10,8670,""
2,9672,0,8,40,30,1751,16,8671,""
3,9673,0,8,40,50,1759,22,8672,""
4,9674,0,10,50,75,1752,28,8673,""
5,9675,0,8,50,85,1764,34,8674,""
6,9676,0,12,100,100,1754,40,8675,1
7,9677,0,18,60,100,1757,45,8676,1
8,9678,0,12,60,150,1758,50,8677,1
9,9679,1,8,10,30,1753,18,8678,""
10,9680,1,10,10,30,1751,20,8679,""
11,9681,1,8,10,50,1759,22,8680,""
12,9682,1,10,10,80,1752,24,8681,""
13,9683,1,8,10,100,1764,26,8682,""
14,9684,1,12,10,200,1754,20,8683,1
15,9685,1,18,10,120,1757,30,8684,1
16,9686,1,12,10,70,1758,35,8685,1
17,9687,2,12,20,2,1753,30,8686,""
18,9688,2,8,30,2,1767,35,8687,""
19,9689,2,8,50,3,1759,40,8688,""
20,9690,2,10,30,3,1752,45,8689,""
21,9691,2,8,40,4,1764,42,8690,""
22,9692,2,12,50,4,1754,45,8691,1
23,9693,2,18,30,4,1757,50,8692,1
24,9694,2,12,30,4,1758,55,8693,1
25,9695,2,5,20,1,1755,100,8694,""
