"rownum","TaggedStat","rid","[rid]","rid","rid"
0,15945,24,[],"",""
1,15946,9023,[],"",""
2,16052,"",[438],"",""
3,16059,"",[441],"",""
4,16071,"",[],1,""
5,16072,"",[],2,""
6,16073,"",[],4,""
7,16074,"",[],12,""
8,16075,"",[],9,""
9,16076,"",[],10,""
10,16077,"",[],24,""
11,16134,11,[],"",""
12,16135,10,[],"",""
13,16136,16069,[],"",""
14,16137,1749,[],"",""
15,16138,7641,[],"",""
16,16058,"",[],"",1
17,16064,"",[],"",8
18,16065,"",[],"",2
19,16101,"",[],"",3
20,16102,"",[],"",4
21,16103,"",[],"",5
22,16104,"",[],"",6
23,16105,"",[],"",7
24,16106,"",[],"",9
25,16107,"",[],"",10
26,16108,"",[],"",12
27,16109,"",[],"",13
28,16110,"",[],"",14
29,16111,"",[],"",15
30,16112,"",[],"",16
31,16113,"",[],"",17
32,16114,"",[],"",18
33,16115,"",[],"",19
34,16116,"",[],"",20
35,16117,"",[],"",21
36,16118,"",[],"",22
37,16119,"",[],"",23
38,16120,"",[],"",24
39,16222,2398,[],"",""
