"rownum","BaseItemTypesKey","AOFile","bool"
0,555,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,556,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,557,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,558,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,559,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,560,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,561,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,562,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,563,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,564,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3728,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
