"rownum","rid","i32","i32","bool","string","[rid]","i32","[i32]","i32","i32"
0,0,0,0,"","BattlePassOneArchnemesisWatchersEye",[3758],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",375,399
1,0,2,17,"","BattlePassOneArchnemesisDyingSun",[3760],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",376,400
2,0,4,33,"","BattlePassOneArchnemesisAegisAurora",[3757],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",377,401
3,0,6,50,"","BattlePassOneArchnemesisHandsoftheHighTemplar",[3756],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",378,402
4,0,8,67,"","BattlePassOneArchnemesisParadoxica",[3759],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",379,403
5,0,10,84,"","BattlePassOneArchnemesisMjolner",[3755],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",380,404
6,0,12,100,"","BattlePassOneArchnemesisBottledFaith",[3762],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",381,405
7,0,14,117,"","BattlePassOneArchnemesisHeadhunter",[3761],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",382,406
8,1,0,0,"","BattlePassTwoRumisConcoction",[3863],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",375,399
9,1,2,17,"","BattlePassTwoDeadReckoning",[3859],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",376,400
10,1,4,33,"","BattlePassTwoHyrrisIre",[3862],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",377,401
11,1,6,50,"","BattlePassTwoDevouringDiadem",[3860],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",378,402
12,1,9,67,"","BattlePassTwoVoidBattery",[3864],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",379,403
13,1,10,84,"","BattlePassTwoAshesoftheStars",[3858],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",380,404
14,1,12,100,"","BattlePassTwoArakaalisFang",[3857],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",381,405
