"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name","FlavourText","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
0,"1_town",264,405,2,[2],"Lioneye's Watch","Cold, dank and reeking of infection. That's how Hope fares in Wraeclast.",[123],1,"1_town",[124],-16843010,-16843010,-16843010,-16843010,""
1,"1_1",244,486,"",[3],"The Twilight Strand","Hope was drowned here.",[],1,"1_1",[123],-16843010,-16843010,-16843010,-16843010,""
2,"1_2",285,346,4,[4],"The Coast","The cliffs echo the hungry madness.","[44,0]",1,"1_2",[125],-16843010,-16843010,-16843010,-16843010,""
3,"1_2a",325,375,"",[5],"The Tidal Island","Despite the warming sun, the breeze here bites with fangs of ice.","[44,0]",1,"1_2a",[126],-16843010,-16843010,-16843010,-16843010,""
4,"1_3",314,300,"",[6],"The Mud Flats","Mud and air seethes with warped life.",[125],1,"1_3",[30],-16843010,-16843010,-16843010,-16843010,""
5,"1_3a",283,231,"",[7],"The Fetid Pool","Sluggish waters simmering with decay.","[224,0]",1,"1_3a",[127],-16843010,-16843010,-16843010,-16843010,""
6,"1_4_0",426,279,"",[8],"The Flooded Depths","Darkness chilled into stillness.","[113,0]",1,"1_4_0",[128],-16843010,-16843010,-16843010,-16843010,""
7,"1_4",371,247,9,[9],"The Submerged Passage","Slime, shadow, and sharp sharp teeth.","[113,0,0]",1,"1_4",[27],-16843010,-16843010,-16843010,-16843010,""
8,"1_5",419,211,10,[10],"The Ledge","Dusty winds laden with the scent of bone, old and otherwise.","[27,0]",1,"1_5",[3],-16843010,-16843010,-16843010,-16843010,""
9,"1_6",324,161,11,[11],"The Climb","The cliffs glower down like judges in session.","[4,0,0]",1,"1_6",[129],-16843010,-16843010,-16843010,-16843010,""
10,"1_7",305,68,12,"[12,13]","The Prison","The air is rich with despair and apparition.","[4,0,0]",1,"1_7",[130],-16843010,-16843010,-16843010,-16843010,""
11,"1_8",385,68,14,[14],"Prisoner's Gate","The cliffs watch with goatish eyes.","[130,0]",1,"1_8",[26],-16843010,-16843010,-16843010,-16843010,""
12,"1_9",480,158,15,[15],"The Ship Graveyard","Whispered agonies of the marooned dead.",[26],1,"1_9",[33],-16843010,-16843010,-16843010,-16843010,""
13,"1_9a",470,107,"",[16],"The Ship Graveyard Cave","A corpse's throat, exhaling death.",[33],1,"1_9a",[131],-16843010,-16843010,-16843010,-16843010,""
14,"1_11",626,117,17,"[17,18]","Merveil's Caverns","The air needles the skin with its frigid fury.","[8,0]",1,"1_11",[132],-16843010,-16843010,-16843010,-16843010,""
15,"1_fake_act2",580,-25,"",[],"Act 2","DEV NOTE: Off map pip for Way Forward quest",[132],1,"",[71],-16843010,-16843010,-16843010,-16843010,""
16,"1_fake_road",365,-25,"",[],"Act 2","DEV NOTE: Off map pip for Way Forward quest","[26,0]",1,"",[71],-16843010,-16843010,-16843010,-16843010,""
17,"2_town",528,313,19,[19],"The Forest Encampment","A remnant of civility in the wild.",[10],2,"2_town",[133],-16843010,-16843010,-16843010,-16843010,""
18,"2_1",574,400,20,[20],"The Southern Forest","Lush and humid, sweating violence.",[],2,"2_1",[10],-16843010,-16843010,-16843010,-16843010,""
19,"2_2",574,267,"",[21],"The Old Fields","Sick pastures, feverish to the touch.","[53,0,0,0,20,0]",2,"2_2",[134],-16843010,-16843010,-16843010,-16843010,""
20,"2_2a",530,218,"",[22],"The Den","Hot and sour as the panting of a rabid bear.","[136,0]",2,"2_2a",[135],-16843010,-16843010,-16843010,-16843010,""
21,"2_3",615,196,23,[23],"The Crossroads","Life struggles where once it bloomed.","[134,0,0,0,97,0]",2,"2_3",[136],-16843010,-16843010,-16843010,-16843010,""
22,"2_5",745,275,24,"[24,25]","The Crypt","Stones worn smooth by centuries of devotion.","[96,0]",2,"2_5",[138],-16843010,-16843010,-16843010,-16843010,""
23,"2_6",540,122,26,"[26,27]","The Chamber of Sins","Phantom whispers of maniacal passion.","[97,0]",2,"2_6",[101],-16843010,-16843010,-16843010,-16843010,""
24,"2_4",641,121,28,[28],"The Broken Bridge","A pure, soothing river once red and clogged with the victims of war.","[53,0,0,0]",2,"2_4",[137],-16843010,-16843010,-16843010,-16843010,""
25,"2_7",411,340,29,[29],"The Riverways","Once tamed rivers now running free.","[53,0,0,0,19]",2,"2_7",[139],-16843010,-16843010,-16843010,-16843010,""
26,"2_8",259,183,30,[30],"The Northern Forest","Daylight is the exile here.",[143],2,"2_8",[140],-16843010,-16843010,-16843010,-16843010,""
27,"2_9",221,288,31,[31],"The Western Forest","Bathed in the cool light of obsession.","[53,0,0,0,19,0]",2,"2_9",[141],-16843010,-16843010,-16843010,-16843010,""
28,"2_10",248,334,"",[32],"The Weaver's Chambers","Shrouded in mourning silks.","[95,0]",2,"2_10",[142],-16843010,-16843010,-16843010,-16843010,""
29,"2_11",318,220,"",[33],"The Vaal Ruins","Shades scratching at imprisoning stone.",[144],2,"2_11",[143],-16843010,-16843010,-16843010,-16843010,""
30,"2_12",355,270,34,[34],"The Wetlands","Corrupted waters, pouring from the Mantle above.","[53,0,0,0]",2,"2_12",[144],-16843010,-16843010,-16843010,-16843010,""
31,"2_13",196,215,"",[35],"The Dread Thicket","Unfettered nature. Unchained ferocity.",[140],2,"2_13",[145],-16843010,-16843010,-16843010,-16843010,""
32,"2_14",144,91,36,"[36,37]","The Caverns","Two thousand years of regret.","[140,0]",2,"2_14",[146],-16843010,-16843010,-16843010,-16843010,""
33,"2_15",680,265,"",[38],"The Fellshrine Ruins","The ground aches with desecration. The rain tastes of blight.","[96,0]",2,"2_15",[147],-16843010,-16843010,-16843010,-16843010,""
34,"3_town",461,369,39,[39],"The Sarn Encampment","The forging ground of heroes, past and present.",[149],3,"3_town",[150],-16843010,-16843010,-16843010,-16843010,""
35,"3_1",662,381,40,[40],"The City of Sarn","A harsh light on harsh sights.",[],3,"3_1",[149],-16843010,-16843010,-16843010,-16843010,""
36,"3_2",652,309,"",[41],"The Slums","Only the wind whistles and whines here now.",[150],3,"3_2",[151],-16843010,-16843010,-16843010,-16843010,""
37,"3_3",714,309,42,[42],"The Crematorium","Choked with ash and cinder.","[151,0]",3,"3_3",[152],-16843010,-16843010,-16843010,-16843010,""
38,"3_5",589,185,43,[43],"The Marketplace","All the money in the world can't stop a world from ending.","[159,0,0,0]",3,"3_5",[154],-16843010,-16843010,-16843010,-16843010,""
39,"3_6",652,168,"",[44],"The Catacombs","Coughing up the dust of dead devotion.",[154],3,"3_6",[155],-16843010,-16843010,-16843010,-16843010,""
40,"3_7",478,140,45,[45],"The Battlefront","Charred flesh and spilled bowels. Sweet and sour.","[154,0,0,0]",3,"3_7",[156],-16843010,-16843010,-16843010,-16843010,""
41,"3_8_1",556,97,46,[46],"The Solaris Temple Level 1","An empire at its height, reflected in polished gold.","[156,0]",3,"3_8",[157],-16843010,-16843010,-16843010,-16843010,""
42,"3_8_2",503,61,47,[47],"The Solaris Temple Level 2","An empire at its height, reflected in polished gold.","[157,0]",3,"3_8",[374],-16843010,-16843010,-16843010,-16843010,""
43,"3_9",394,118,48,[48],"The Docks","Life pales in the wake of progress.","[156,0]",3,"3_9",[158],-16843010,-16843010,-16843010,-16843010,""
44,"3_10",616,252,49,[49],"The Sewers","What horrors lurk in the bowels of the city?",[151],3,"3_10",[159],-16843010,-16843010,-16843010,-16843010,""
45,"3_13",295,178,50,[50],"The Ebony Barracks","Polished surfaces reflect brutal efficiency.","[156,0,0,0]",3,"3_13",[162],-16843010,-16843010,-16843010,-16843010,""
46,"3_14",188,169,51,"[51,52]","The Lunaris Temple","Depravity is boundless.","[162,0]",3,"3_14","[163,0]",-16843010,-16843010,-16843010,-16843010,""
47,"3_15",262,129,53,[53],"The Imperial Gardens","Nature outgrows the designs of Man.","[162,0]",3,"3_15",[164],-16843010,-16843010,-16843010,-16843010,""
48,"3_17",217,98,54,"[54,55]","The Library","All the knowledge in the Empire could not save them.",[164],3,"3_17",[166],-16843010,-16843010,-16843010,-16843010,""
49,"3_18",285,76,56,"[56,57]","The Sceptre of God","The pinnacle of power. The height of hubris.","[164,0]",3,"3_18",[167],-16843010,-16843010,-16843010,-16843010,""
