"rownum","MapLevel","Stat1Value","Stat2Value","StatsKey1","StatsKey2","StatsKey3","Stat3Value","StatsKey4","Stat4Value"
0,66,1,0,2451,2452,"",0,"",0
1,67,3,0,2451,2452,"",0,"",0
2,68,5,0,2451,2452,"",0,"",0
3,69,9,1,2451,2452,"",0,"",0
4,70,13,2,2451,2452,"",0,"",0
5,71,19,3,2451,2452,"",0,"",0
6,72,24,4,2451,2452,"",0,"",0
7,73,30,5,2451,2452,"",0,"",0
8,74,36,6,2451,2452,"",0,"",0
9,75,43,7,2451,2452,"",0,"",0
10,76,49,8,2451,2452,"",0,"",0
11,77,55,9,2451,2452,"",0,"",0
12,78,61,10,2451,2452,"",0,"",0
13,79,68,11,2451,2452,"",0,"",0
14,80,77,12,2451,2452,"",0,"",0
15,81,87,13,2451,2452,"",0,"",0
16,82,98,14,2451,2452,"",0,"",0
17,83,109,15,2451,2452,"",0,"",0
18,84,117,16,2451,2452,"",0,"",0
19,85,125,17,2451,2452,"",0,"",0
20,86,134,18,2451,2452,"",0,"",0
21,87,142,19,2451,2452,"",0,"",0
22,88,150,20,2451,2452,"",0,"",0
23,89,158,21,2451,2452,"",0,"",0
24,90,166,22,2451,2452,"",0,"",0
