"rownum","string","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"DIVIDER2",""
5,"Quests",1
6,"QuestReward",1
7,"NextPresetQuest",1
8,"BanditRespec",1
9,"DIVIDER3",1
10,"SynthesisOptions",1
11,"MetamorphosisOptions",1
12,"BuyAzuriteItems",1
13,"ViewIncursionTemple",1
14,"OpenIncursionPortal",1
15,"OpenIncursionTemple",1
16,"ItemiseIncursionTemple",""
17,"OpenHeistNPCInventory",1
18,"OpenHeistNPCBlueprint",1
19,"OpenExpeditionMap",1
20,"OpenExpeditionStorage",1
21,"RightMenu",1
22,"RespecHellscapePassives",1
23,"BuyItems",1
24,"SellItems",1
25,"Crafting",1
26,"DIVIDER4",1
27,"PVP",1
28,"ArenaPVP",1
29,"DIVIDER5",1
30,"TradeDivinationCards",1
31,"CadiroOffer",1
32,"ViewPantheon",1
33,"EndlessHeistContracts",1
34,"DIVIDER6",1
35,"SelectHideout",1
36,"SelectGuildHideout",1
37,"InviteToHideout",1
38,"BuyExpeditionItems",1
