"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11718,"{0} Mana",1
1,"Life",13981,"{0} Life",1
2,"ES",14840,"{0} Energy Shield",1
3,"Rage",14018,"{0} Rage",1
4,"ManaPercent",13980,"{0}% Mana",1
5,"LifePercent",13982,"{0}% Life",1
6,"UnreservedManaPercent",14249,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14670,"{0} Mana per second",60
8,"LifePerMinute",14671,"{0} Life per second",60
9,"ManaPercentPerMinute",14674,"{0}% Mana per second",60
10,"LifePercentPerMinute",14675,"{0}% Life per second",60
11,"ESPerMinute",14752,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14753,"{0}% Energy Shield per second",60
