"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,24790,[1],"",[62]
1,24791,[2],"",[62]
2,24792,[3],"",[62]
3,24793,[4],"",[62]
4,24794,[1],8327,"[1134,4715]"
5,24795,[2],8327,"[1134,4715]"
6,24796,[3],8327,"[1134,4715]"
7,24797,[4],8327,"[1134,4715]"
8,24798,[1],8327,"[1134,4715]"
9,24799,[2],8327,"[1134,4715]"
10,24800,[3],8327,"[1134,4715]"
11,24801,[4],8327,"[1134,4715]"
12,24802,[1],8327,"[1134,4715]"
13,24803,[2],8327,"[1134,4715]"
14,24804,[3],8327,"[1134,4715]"
15,24805,[4],8327,"[1134,4715]"
16,24806,[1],8327,"[4708,1134,4715]"
17,24807,[2],8327,"[4708,1134,4715]"
18,24808,[3],8327,"[4708,1134,4715]"
19,24809,[4],8327,"[4708,1134,4715]"
20,24810,[1],8327,"[1134,4715]"
21,24811,[2],8327,"[1134,4715]"
22,24812,[3],8327,"[1134,4715]"
23,24813,[4],8327,"[1134,4715]"
24,24814,[1],8327,"[1134,4715]"
25,24815,[2],8327,"[1134,4715]"
26,24816,[3],8327,"[1134,4715]"
27,24817,[4],8327,"[1134,4715]"
28,24818,[1],8327,"[1134,4715]"
29,24819,[2],8327,"[1134,4715]"
30,24820,[3],8327,"[1134,4715]"
31,24821,[4],8327,"[1134,4715]"
32,24822,[1],8327,"[1134,4715]"
33,24823,[2],8327,"[1134,4715]"
34,24824,[3],8327,"[1134,4715]"
35,24825,[4],8327,"[1134,4715]"
36,24826,[1],8327,"[1134,4715]"
37,24827,[2],8327,"[1134,4715]"
38,24828,[3],8327,"[1134,4715]"
39,24829,[4],8327,"[1134,4715]"
40,24830,[3],"",[]
41,24831,[4],"",[]
42,24832,[3],"",[]
43,24833,[4],"",[]
44,24834,[3],"",[]
45,24835,[4],"",[]
46,24836,[3],"",[]
47,24837,[4],"",[]
48,24838,[3],"",[]
49,24839,[4],"",[]
50,24840,[3],"",[]
51,24841,[4],"",[]
52,24842,[3],"",[]
53,24843,[4],"",[]
54,24844,[3],"",[]
55,24845,[4],"",[]
56,24846,"[2,3,4]","",[]
57,24847,[3],"",[]
58,24848,[4],"",[]
59,24849,[2],"",[]
60,24850,[3],"",[]
61,24851,[4],"",[]
62,24852,[3],"",[]
63,24853,[4],"",[]
64,24854,[2],"",[]
65,24855,[3],"",[]
66,24856,[4],"",[]
67,24857,[2],"",[]
68,24858,[3],"",[]
69,24859,[4],"",[]
70,24860,[2],"",[]
71,24861,[3],"",[]
72,24862,[4],"",[]
73,24863,[2],"",[]
74,24864,[3],"",[]
75,24865,[4],"",[]
76,24866,[2],"",[]
77,24867,[3],"",[]
78,24868,[4],"",[]
79,24869,"[2,3,4]","",[]
80,24870,[2],"","[3396,1153,1081]"
81,24871,[3],"","[3396,1153,1081]"
82,24872,[4],"","[3396,1153,1081]"
83,24873,[2],"","[3396,1153,1081]"
84,24874,[3],"","[3396,1153,1081]"
85,24875,[4],"","[3396,1153,1081]"
86,24876,[2],"",[]
87,24877,[3],"",[]
88,24878,[4],"",[]
89,24879,[2],"",[]
90,24880,[3],"",[]
91,24881,[4],"",[]
92,24882,"[3,4]","",[]
93,24883,"[3,4]","",[]
94,24884,"[3,4]","",[]
95,24885,[3],"",[]
96,24886,[4],"",[]
97,24887,"[3,4]",8326,[]
98,24888,"[3,4]",8326,[]
99,24889,"[3,4]",8326,[]
100,24890,"[3,4]",8326,[]
101,24891,"[3,4]",8326,[]
102,24892,"[3,4]",8326,[]
103,24893,"[3,4]",8326,[]
104,24894,"[3,4]",8326,[]
105,24895,"[3,4]",8326,[]
106,24896,"[3,4]",8326,[]
107,24897,"[3,4]",8326,[]
108,24898,[2],"",[4708]
109,24899,[3],"",[4708]
110,24900,[4],"",[4708]
111,24901,[3],"",[]
112,24902,[4],"",[]
113,24903,[2],"",[]
114,24904,[3],"",[]
115,24905,[4],"",[]
116,24906,[3],"",[]
117,24907,[4],"",[]
118,24908,[3],8327,[]
119,24909,[4],8327,[]
120,24910,[1],"",[]
121,24911,[2],"",[]
122,24912,[3],"",[]
123,24913,[4],"",[]
124,24914,[1],8421,[]
125,24915,[2],8421,[]
126,24916,[3],8421,[]
127,24917,[4],8421,[]
128,24918,[2],"",[]
129,24919,[3],"",[]
130,24920,[4],"",[]
131,24921,[1],8328,[]
132,24922,[2],8328,[]
133,24923,[3],8328,[]
134,24924,[4],8328,[]
135,24925,[1],8328,[]
136,24926,[2],8328,[]
137,24927,[3],8328,[]
138,24928,[4],8328,[]
139,24929,[1],8328,[]
140,24930,[2],8328,[]
141,24931,[3],8328,[]
142,24932,[4],8328,[]
143,24933,[1],8328,[]
144,24934,[2],8328,[]
145,24935,[3],8328,[]
146,24936,[4],8328,[]
147,24937,[1],8328,[]
148,24938,[2],8328,[]
149,24939,[3],8328,[]
150,24940,[4],8328,[]
151,24941,[2],8328,[]
152,24942,[3],8328,[]
153,24943,[4],8328,[]
154,24944,[2],8328,[]
155,24945,[3],8328,[]
156,24946,[4],8328,[]
157,24947,[2],"",[]
158,24948,[3],"",[]
