"rownum","Id","Name","Stats","StatsValues","Points","HASH16","Icon","IconMaxed","SoundEffect","i32","Quest"
0,"JewellerySpeed","Chaotic Adornment",[14760],[5],5,5415,"Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicroMaxed.dds","",1275,""
1,"ArmourSpeed","Twisted Metal",[14756],[5],5,34224,"Art/2DArt/SkillIcons/HellscapePassives/ArmourMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/ArmourMicroMaxed.dds","",1275,""
2,"WeaponSpeed","Murderous Desecration","[14757,14759]","[5,5]",5,10836,"Art/2DArt/SkillIcons/HellscapePassives/WeaponMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/WeaponMicroMaxed.dds","",1275,""
3,"MapSpeed","Fervent Dreams",[14758],[5],5,34087,"Art/2DArt/SkillIcons/HellscapePassives/MapsMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsMicroMaxed.dds","",1275,""
4,"MicrowaveSlotNonMap1","Alternate History",[15229],[1],1,13590,"Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItems.dds","Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItemsMaxed.dds",336,1275,""
5,"MicrowaveSlotNonMap2","Crushed Organs",[14738],[1],1,46379,"Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicroMaxed.dds",294,1275,""
6,"MicrowaveSlotMap","Restless Nightmares",[14739],[1],1,32734,"Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicroMaxed.dds",295,1157,172
7,"AddSocketNumber","Trypophobia",[14762],[3],5,15734,"Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlotMaxed.dds","",1275,""
8,"AddSocketLink","Stitched Wounds",[14763],[3],5,50796,"Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlotMaxed.dds","",1275,""
9,"HellscapingSpeedPerHellscapeTierOnMap","Warped Sluice",[15085],[1],5,31773,"Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifierMaxed.dds","",1275,""
10,"AddExplicitModifier","Golden Blood",[14765],[4],5,46764,"Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifierMaxed.dds","",1275,""
11,"UpgradeExplicitModifier","Intensifying Emulsion",[14766],[2],5,5968,"Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOne.dds","Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOneMaxed.dds","",1275,""
12,"IncreasedUpsideTier","Anomalous Aura",[14767],[2],5,38827,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpsideMaxed.dds","",1275,""
13,"ReducedDownsideTier","Stabilising Energy",[14768],[2],5,46437,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownsideMaxed.dds","",1275,""
14,"AdditionalUpside","Strange Forces",[14769],[1],5,49509,"Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpsideMaxed.dds","",1275,""
