"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCShop","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC","","","",1,0,[0],[1],18329,"","",""
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC","","","",1,11,[2],[3],16035,"","",""
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC","","","",1,"",[4],[],56488,"","",""
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC","","","",1,"",[],[],31831,"","",""
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",1,"",[],[5],39720,"","",""
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves",0,"",[],[],47303,"","",""
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC","","","",1,"",[],[],48620,"","",""
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC","","","Brutus",1,"",[],[],45035,"","",""
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC","","","",1,"",[],[],20647,"","",""
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC","","","",2,"",[6],[7],5275,"","",""
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC","","","",2,12,[8],[9],66,"","",""
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC","","","",2,1,[10],[11],60311,"","",""
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC","","","",2,"",[12],[],60264,"","",""
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderInt","Alira","Metadata/NPC/NPC","","","",2,"",[],[],64364,"","",""
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderDexInt","Kraityn","Metadata/NPC/NPC","","","",2,"",[],[],26782,"","",""
15,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderStrDex","Oak","Metadata/NPC/NPC","","","",2,"",[],[],21003,"","",""
16,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC","","","",3,2,[14],[15],54708,"","",""
17,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,"",[16],[17],12298,"","",""
18,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC","","","Dialla",3,"",[16],[],1838,"","",""
19,"Metadata/NPC/Act3/Maramoa","Maramoa","Metadata/NPC/NPC",843,"","",3,"",[18],[19],20488,"","",""
20,"Metadata/NPC/Act3/Grigor","Grigor","Metadata/NPC/NPC","","","",3,"",[20],[21],57890,"","",""
21,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Metadata/NPC/NPC","","","",3,13,[22],[23],32620,"","",""
22,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Metadata/NPC/NPC","","","",3,"",[],[],58342,"","",""
23,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Metadata/NPC/Info/StoryGlyphBase",542,"","",1,"",[],[],10734,"","",""
24,"Metadata/NPC/Act2/HelenaTown","Helena","Metadata/NPC/NPC","",3,"",2,"",[24],[25],18941,"","",""
25,"Metadata/NPC/Act2/HelenaSins","Helena","Metadata/NPC/NPC","",3,"",2,"",[],[],22927,"","",""
