"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","[i32]","[i32]","i32","i32","rid"
0,0,"[1808,1809,1810,1811]","",[],20,[],[],0,0,""
1,1,"[1808,1809,1810,1811]","",[],30,[],[],0,0,""
2,2,"[1808,1809,1810,1811]","",[],40,[],[],0,0,""
3,3,"[1812,1813,1814,1815,1816]","",[],20,[],[],0,0,""
4,4,"[1812,1813,1814,1815,1816]","",[],30,[],[],0,0,""
5,5,"[1812,1813,1814,1815,1816]","",[],40,[],[],0,0,""
6,6,"[1817,1818,1819,1820,1821]","",[],20,[],[],0,0,""
7,7,"[1817,1818,1819,1820,1821]","",[],30,[],[],0,0,""
8,8,"[1817,1818,1819,1820,1821]","",[],40,[],[],0,0,""
9,9,"[1822,1823,1824]","",[],20,[],[],0,0,""
10,10,"[1822,1823,1824]","",[],30,[],[],0,0,""
11,11,"[1822,1823,1824]","",[],40,[],[],0,0,""
12,12,[1825],"",[],15,[],[],0,0,""
13,13,[1826],"",[],15,[],[],0,0,""
14,14,[1827],"",[],15,[],[],0,0,""
15,15,[1828],"",[],15,[],[],0,0,""
16,16,[],"",[10807],0,[],[15],0,0,""
17,17,[1829],"",[],6,[],[],0,0,""
18,18,[1830],"",[],4,[],[],0,0,""
19,19,[1831],"",[],6,[],[],0,0,""
20,20,[],1442,[],0,"[1,25,30,8,30]",[],0,0,""
21,21,[],1443,[],0,"[1,1,15,20,30,1,1]",[],0,0,""
22,22,[],1444,[],0,"[1,30,10,30]",[],0,0,""
23,23,[],1445,[],0,"[15,30,30,15,40]",[],0,0,""
24,25,"[2175,2176,2177,2178]","",[],3,[],[],70,100,15935
25,26,"[2175,2176,2177,2178,2179,2180,2181,2182]","",[],3,[],[],70,100,15935
26,27,"[2175,2176,2177]","",[],20,[],[],0,0,15935
27,28,"[2175,2176,2177]","",[],25,[],[],0,0,15935
28,29,"[2175,2176,2177]","",[],30,[],[],0,0,15935
29,30,"[2175,2176,2177]","",[],35,[],[],0,0,15935
30,31,"[2175,2176,2177,2178,2179,2180,2181,2182]","",[],40,[],[],0,0,15935
31,32,"[2175,2176,2177,2178,2179,2180,2181,2182]","",[],50,[],[],0,0,15935
32,33,"[2175,2176,2177,2178,2179,2180,2181,2182]","",[],60,[],[],0,0,15935
33,34,"[2175,2176,2177,2178,2179,2180,2181,2182]","",[],60,[],[],0,0,15935
34,35,"[2183,2184,2185,2186]","",[],3,[],[],70,100,15936
35,36,"[2183,2184,2185,2186,2187,2188,2189,2190]","",[],3,[],[],70,100,15936
36,37,"[2183,2184,2185,2186]","",[],20,[],[],0,0,15936
37,38,"[2183,2184,2185,2186]","",[],25,[],[],0,0,15936
38,39,"[2183,2184,2185,2186]","",[],30,[],[],0,0,15936
39,40,"[2183,2184,2185,2186]","",[],35,[],[],0,0,15936
40,41,"[2183,2184,2185,2186,2187,2188,2189,2190]","",[],40,[],[],0,0,15936
41,42,"[2183,2184,2185,2186,2187,2188,2189,2190]","",[],50,[],[],0,0,15936
42,43,"[2183,2184,2185,2186,2187,2188,2189,2190]","",[],60,[],[],0,0,15936
43,44,"[2183,2184,2185,2186,2187,2188,2189,2190]","",[],60,[],[],0,0,15936
