"rownum","Id","Variant","i32","i32","TextAudio","RoundsMin","RoundsMax"
0,"ApproachShout",0,-256,256,11388,1,1
1,"ApproachShout",1,-256,256,11396,2,2
2,"ApproachShout",2,-256,256,11404,3,3
3,"ApproachShout",3,-256,256,11410,4,4
4,"ApproachShout",4,-256,256,11416,5,5
5,"ApproachShout",5,-256,256,11424,6,6
6,"ApproachShout",6,-256,256,11430,7,7
7,"ApproachShout",7,-256,256,11436,8,8
8,"ApproachShout",8,-256,256,11442,9,9
9,"ApproachShout",9,-256,-5,11448,0,0
10,"ApproachShout",10,-4,-2,11458,0,0
11,"ApproachShout",11,-1,-1,11469,0,0
12,"ApproachShout",12,0,0,11013,0,0
13,"ApproachShout",13,1,1,11481,0,0
14,"ApproachShout",14,2,4,11490,0,0
15,"ApproachShout",15,5,256,11502,0,0
16,"PlayerWon",0,-256,-5,11513,0,10
17,"PlayerWon",1,-4,-2,11524,0,10
18,"PlayerWon",2,-1,-1,11534,0,10
19,"PlayerWon",3,0,0,11025,0,10
20,"PlayerWon",4,1,1,11542,0,10
21,"PlayerWon",5,2,4,11550,0,10
22,"PlayerWon",6,5,256,11562,0,10
23,"PlayerLost",0,-256,-5,11581,0,10
24,"PlayerLost",1,-4,-2,11591,0,10
25,"PlayerLost",2,-1,-1,11599,0,10
26,"PlayerLost",3,0,0,11018,0,10
27,"PlayerLost",4,1,1,11609,0,10
28,"PlayerLost",5,2,4,11618,0,10
29,"PlayerLost",6,5,256,11632,0,10
