"rownum","Item","rid","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script"
0,9106,2284,"",225,"",[],"","","",1275,"",""
1,9107,1870,"",351,"",[],"","","",1275,"",""
2,9108,1869,"",352,"",[],"","","",1275,"",""
3,9115,2301,"",979,"",[],"",1,881,1275,"",""
4,9116,2302,"",980,"",[],"",1,881,1275,"",""
5,9117,2303,"",981,"",[],"",1,881,1275,"",""
6,9118,2304,"",982,"",[],"",1,881,1275,"",""
7,5521,2583,"",1156,"",[],"","",896,1275,"",""
8,5522,2584,"",1157,"",[],"","",897,1275,"",""
9,5523,2594,"",1160,"",[],"","",898,1275,"",""
10,9651,953,"",207,"",[],"",1,883,1275,"",""
11,9653,954,"",212,"",[],"",1,6395,1275,"",""
12,9655,955,"",323,"",[],"",1,884,1275,"",""
13,9657,956,"",328,"",[],"",1,6396,1275,"",""
14,5425,2007,"",662,"",[],"","",879,662,893,"skill_book"
15,5426,2008,"",663,"",[],"","",879,663,893,"skill_book"
16,5427,2009,"",664,"",[],"","",879,664,893,"skill_book"
17,5428,2010,"",665,"",[],"","",879,665,893,"skill_book"
18,5429,2012,"",675,"",[],"","",879,675,893,"skill_book"
19,5430,2013,"",676,"",[],"","",879,676,893,"skill_book"
20,5524,1518,1516,1275,1516,[],"","",899,1275,"","sentinel_controller"
