"rownum","Id","Monster","Tier","i32","[i32]","[rid]","string","i32","string","i32"
0,"DropBearT1Red",7982,1,2,"[110,150,175]",[7020],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
1,"HellionT1Red",7984,1,1,"[110,150,175]",[7021],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
2,"WolfT1Red",7987,1,2,"[110,150,175]",[7022],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
3,"MonkeyT1Red",7989,1,2,"[110,150,175]",[7023],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
4,"InsectT1Red",7991,1,2,"[110,150,175]",[7024],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
5,"BeastT2Red",7993,2,1,"[110,150,175]",[7055],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
6,"HoundT2Red",7995,2,1,"[110,150,175]",[7056],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
7,"MinerHammerT2Red",7998,2,1,"[110,150,175]",[7057],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
8,"ChieftainT2Red",8000,2,1,"[110,150,175]",[7058],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
9,"SpikerT2Red",8003,2,1,"[110,150,175]",[7059],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
