"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
0,1138,7035,"",381,1919,"[113,33,1,96,94]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","",""
1,1139,8103,"",381,1920,[0],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","",""
2,1150,7024,"",390,1931,"[52,3,66,103]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","",""
3,1151,8279,"",390,1932,[2],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","",""
4,1140,7032,"",382,1921,"[5,100,40]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","",""
5,1141,10959,"",382,1922,[4],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","",""
6,1194,7040,"",426,1974,"[63,56,79,7,77]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","",""
7,1195,8122,"",426,1975,[6],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","",""
8,1148,7004,"",389,1929,"[95,9,49]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","",""
9,1149,11199,"",389,1930,[8],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","",""
10,1172,7118,"",406,1952,"[113,80,11,94]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","",""
11,1173,11197,"",406,1953,[10],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","",""
12,1183,7041,"",415,1963,"[39,72,18,13]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","",""
13,1184,10958,"",415,1964,[12],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","",""
14,1218,7066,"",446,1997,"[15,58,32]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","",""
15,1219,8433,"",446,1998,[14],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","",""
16,1211,7044,"",441,1990,"[83,71,68,75,17]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","",""
17,1212,8165,"",441,1991,[16],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","",""
18,1167,7037,"",403,1948,"[48,109,97,19,12,34]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","",""
19,1168,8215,"",403,1949,[18],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","",""
20,1110,7018,"",350,1891,"[39,21,90]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,""
21,1111,8600,"",350,1892,[20],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","",""
22,1180,7047,"",413,1960,"[23,35,103,32]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","",""
23,1181,8198,"",413,1961,[22],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","",""
24,1142,7061,"",383,1923,"[86,102,25,67,38]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","",""
25,1217,8219,"",383,1996,[24],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","",""
26,1152,7054,"",391,1933,"[63,61,27,59,43]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","",""
27,1153,10572,"",391,1934,[26],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","",""
