"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout"
0,1257,8735,1389,8201,0
1,1263,8736,1390,5309,0
2,1142,8737,1391,2363,0
3,1135,8738,1392,2419,1
4,1132,8739,1393,2394,1
5,1114,8740,1394,3957,1
6,1143,8741,1395,2307,2
7,1145,8742,1396,2290,2
8,1237,8743,1397,5389,2
9,1172,8744,1398,5299,3
10,1218,8745,1399,3373,3
11,1102,8746,1400,2303,3
12,1210,8747,1402,5622,6
13,1140,8748,1405,5656,8
14,1194,8749,1406,2278,9
15,1259,8750,1407,8172,10
16,1232,8751,1401,4597,11
17,1233,8752,1404,5634,13
18,1159,8753,1408,5334,14
19,1199,8754,1403,4601,15
