"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
0,"IIQGrind",[],[1037],[],[],1,[0]
1,"TierGrind",[],[10014],[8218],[],1,[0]
2,"LeaguestoneGrind",[10],[],[],[],1,[0]
3,"Twinned",[3],[],[],[28],1,[0]
4,"RareUnid","[1,4]",[],[],[27],1,[0]
5,"Rare8Mod","[1,8]",[],[],[],1,[0]
6,"Rare8ModRed","[1,8,18]",[],[8094],[],1,[0]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0]
10,"ZanaMod",[11],[],[],[],1,[0]
11,"CraftedMods",[12],[],[],[],1,[0]
12,"Corrupted",[5],[],[],[],1,[0]
13,"AnySextant",[20],[],[],[],1,[0]
14,"NemesisSextant",[21],[],[],[],1,[0]
15,"GroundHasteSextant",[22],[],[],[],1,[0]
16,"NoReflectSextant",[23],[],[],[],1,[0]
17,"ExtraTeamMonstersSextant",[24],[],[],[],1,[0]
18,"BodyguardsSextant",[25],[],[],[],1,[0]
19,"BarrelSextant","[26,27,28,29,30,31]",[],[],[],"",[0]
20,"ConvertOnDeathSextant",[32],[],[],[],1,[0]
21,"OnslaughtIfHitRecentlySextant",[33],[],[],[],1,[0]
22,"QualityAffectsRaritySextant",[34],[],[],[],1,[0]
23,"CorruptedDropsSextant",[35],[],[],[],1,[0]
24,"MinStrongboxRaritySextant",[36],[],[],[],1,[0]
25,"PossessedRustedScarabSextant",[37],[],[],[],1,[0]
26,"PossessedPolishedScarabSextant",[38],[],[],[],1,[0]
27,"PossessedGildedScarabSextant",[39],[],[],[],1,[0]
28,"PossessedUniqueDropSextant",[41],[],[],[],1,[0]
29,"PossessedMapDropSextant",[42],[],[],[],1,[0]
30,"ShrineDurationSextant",[43],[],[],[],1,[0]
31,"CurrencyShardSextant",[44],[],[],[],1,[0]
32,"VaalMonstersSextant",[45],[],[],[],1,[0]
33,"BeyondSextant",[46],[],[],[],1,[0]
34,"TormentBetrayersSextant",[47],[],[],[],1,[0]
35,"TormentHereticsSextant",[48],[],[],[],1,[0]
36,"TormentGraverobbersSextant",[49],[],[],[],1,[0]
37,"CorruptEssenceSextant",[50],[],[],[],1,[0]
38,"LegionSextant","[20,52]",[],[],[],1,[0]
39,"Tempest",[51],[],[],[],1,[0]
40,"Total10Mods",[9],[],[1023],[],1,[0]
41,"HasQuality",[53],[],[],[],1,[0]
42,"RareDeliriumMap","[1,54]",[],[],[],1,[0]
43,"RareDeliriumMapMaxDelirium","[1,55]",[],[7101],[],1,[0]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,55,6,19]",[],[8782],[],1,[0]
45,"TwinnedMapMaxDelirium","[3,55]",[],[],[],1,[0]
46,"RareMapAwakening8MaxDelirium","[1,56,55]",[],[],[],1,[0]
47,"ElderGuardianMapMaxDelirium","[57,55]",[],[],[],1,[0]
48,"8ModBlightedMap","[58,72,8]",[],[8947],[],1,[0]
49,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1001,866,790,1198]"
50,"UniqueMap_WhakawairuaTuahu",[],[],"[8168,8365,8815,9007]",[],1,"[970,879,801,1111]"
51,"UniqueMap_VinktarSquare",[],[],"[4222,8169,8366,8816,9008]",[],1,"[1009,918,1165]"
52,"UniqueMap_VaultsOfAtziri",[],[],"[8159,8356,8806,8998]",[],1,"[946,853,776,1161]"
53,"UniqueMap_PutridCloister",[],[],"[8171,8368,8818,9010]",[],1,"[948,1184]"
54,"UniqueMap_PoorjoysAsylum",[],[],"[8163,8360,8810,9002]",[],1,"[1005,876,798,1181]"
55,"UniqueMap_PerandusManor",[],[],[8175],[],1,"[1017,907,1113]"
56,"UniqueMap_OlmecsSanctum",[],[],"[8166,8363,8813,9005]",[],1,"[977,884,817,1151]"
57,"UniqueMap_ObasCursedTrove",[],[],"[8165,8362,8812,9004]",[],1,"[1021,886,806,1217]"
58,"UniqueMap_MaoKun",[],[],"[8164,8361,8811,9003]",[],1,"[1003,855,778,1168]"
59,"UniqueMap_MaelstromOfChaos",[],[],"[8160,8357,8807,8999]",[],1,"[988,846,769,1139]"
60,"UniqueMap_HallowedGround",[],[],"[8172,8369,8819,9011]",[],1,"[930,1141]"
61,"UniqueMap_DeathAndTaxes",[],[],"[8167,8364,8814,9006]",[],1,"[1027,902,821,1219]"
62,"UniqueMap_CowardsTrial",[],[],"[8161,8358,8808,9000]",[],1,"[995,834,756,1195]"
63,"UniqueMap_CaerBlaidd",[],[],"[8170,8367,8817,9009]",[],1,"[1014,869,1153]"
64,"UniqueMap_ActonsNightmare",[],[],"[8162,8359,8809,9001]",[],1,"[999,861,785,1212]"
65,"UniqueMap_DoryanisMachinarium",[],[],"[8176,8372,8822,9014]",[],1,[1123]
66,"UniqueMap_TwilightTemple",[],[],"[8173,8370,8820,9012]",[],1,[1173]
67,"UniqueMap_PillarsOfArun",[],[],"[8174,8371,8821,9013]",[],1,[1149]
68,"VaalTemple",[],[],[],[],1,"[1057,925,832,1247]"
69,"TwinnedCaldera",[3],[],[],[],1,"[1047,928,1221]"
70,"TwinnedColosseum",[3],[],[],[],1,"[1048,929,1230]"
