"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]"
0,"ignited","You're on fire","","","Ignited",[8073],"",13,"","","",1,22,2,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[8073],[14557],"","","","","","",[]
1,"chilled","You are slowed","","","Chilled",[8409],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[8409],[14558],"","",1,1,"","",[]
2,"frozen","Frozen solid","","","Frozen",[12433],1,13,"","","",1,22,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[12433],"[14559,1998]","","","",1,"","",[]
3,"shocked","You take up to 50% increased Damage","","","Shocked",[16294],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[16294],[14560],"","",1,1,"","",[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",22,7,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[]
5,"flask_effect_life","",1,"","Healing",[7694],1,5,"","","","",22,0,1,"",4,"",1,1,1,0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[7694],[],"","","","","","",[]
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,860,1303,8160,2972,6825,6824]",1,2,"","","","",22,8,1,"",16,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,860,1303,8160,2972,6825,6824]",[],"","","","","","",[]
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",22,9,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[140],[],"","","","","","",[]
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",22,10,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[157],[],"","","","","","",[]
9,"flask_effect_mana","",1,"","Regenerating Mana",[7695],1,5,"","","","",14,0,1,"",4,"",1,1,1,0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[7695],[],"","","","","","",[]
10,"poison","You take chaos damage","","","Poisoned",[8074],1,1,1,"","",1,22,11,"",1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","",[],"",[],[],[8074],[14561],"",1,"","","","",[]
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3091,2564,3057,1351,12797,3111]",1,2,"","","",1,22,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,"","",0,[],"","",[],"",[454],[],"[70,3091,2564,3057,1351,12797,3111,454]",[],"","","","","","",[]
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[879,25,878,1902]",1,2,"","","",1,22,15,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,878,1902]",[],"","","","","","",[]
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1976],"",3,"","","","",22,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,1,"",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[879,25,878,1902]",1,2,"","","",1,22,24,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,878,1902]",[],"","","","","","",[]
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1976],"",3,"","","","",22,25,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[879,25,2531]",1,2,"","","",1,22,16,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[879,25,2531]",[],"","","","","","",[]
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1976],"",3,"","","","",22,20,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
18,"invisible_fire_aura","",1,"","","[4934,4934,4934]",1,3,"","","","",22,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","","",4,"","",0,[],"","",[],"",[],[],"[4934,4934,4934]",[],"","","","","","",[]
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1976],"",3,"","","","",22,30,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1976],"",3,"","","","",22,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1976],"",3,"","","","",22,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[]
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",22,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[]
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1980],"",3,"","","","",22,27,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1980],[],"","","","","","",[]
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1978],"",3,"","","","",22,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[1978],[],"","","","","","",[]
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",22,700,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[]
