"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts"
0,"Disabled","[6828,6829,6830,6831]",0,"",0,"",1,"","","",[]
1,"Atziri1","[6756,6757,6758,6759]",753,24,0,"",0,"","","",[]
2,"Atziri2","[6761,6762,6763,6764]",754,24,0,"",0,"","","",[]
3,"VaalFragment1_1",[6756],1500,"",72,"",0,"","","",[]
4,"VaalFragment1_2",[6757],1500,"",70,"",0,"","","",[]
5,"VaalFragment1_3",[6758],1500,"",71,"",0,"","","",[]
6,"VaalFragment1_4",[6759],1500,"",69,"",0,"","","",[]
7,"VaalFragment2_1",[6761],1500,"",74,"",0,"","","",[]
8,"VaalFragment2_2",[6762],1500,"",76,"",0,"","","",[]
9,"VaalFragment2_3",[6763],1500,"",75,"",0,"","","",[]
10,"VaalFragment2_4",[6764],1500,"",73,"",0,"","","",[]
11,"Disabled2","[6766,6767,6768,6769]",0,"",0,"",0,"","","",[]
12,"ShapersRealm","[6771,6772,6773,6774]",1246,20,0,"",0,"",1,"",[]
13,"EldersRealm","[6776,6777,6778,6779]",1279,108,0,"",0,"",1,"",[]
14,"UberEldersRealm","[6781,6782,6783,6784]",1280,20,0,"",0,"",1,"",[]
15,"BreachDomainFire",[6792],1060,"",0,"",0,"","","",[]
16,"BreachDomainCold",[6793],1061,"",0,"",0,"","","",[]
17,"BreachDomainLightning",[6794],1062,"",0,"",0,"","","",[]
18,"BreachDomainPhysical",[6795],1058,"",0,"",0,"","","",[]
19,"BreachDomainChaos",[6796],1059,"",0,"",0,"","","",[]
20,"ClassicVault",[6832],276,27,0,"",0,"","","",[]
21,"MaligaroMap",[5481],107,"",0,1282,0,"","","",[]
22,"340Vault",[6833],277,27,0,"",0,"","","",[]
23,"UberVenariusVault",[6835],279,27,0,"",0,"","","",[]
24,"UberEaterOfWorldsVault",[6836],280,27,0,"",0,"","","",[]
25,"UberMavenVault",[6837],281,27,0,"",0,"","","",[]
26,"UberSearingExarchVault",[6838],282,27,0,"",0,"","","",[]
27,"UberSirusVault",[6839],283,27,0,"",0,"","","",[]
28,"UberShaperVault",[6840],284,27,0,"",0,"","","",[]
29,"UberUberElderVault",[6841],285,27,0,"",0,"","","",[]
30,"BreachDomainFire2",[6797],1065,"",0,"",0,"","","",[]
31,"BreachDomainCold2",[6798],1066,"",0,"",0,"","","",[]
32,"BreachDomainLightning2",[6799],1067,"",0,"",0,"","","",[]
33,"BreachDomainPhysical2",[6800],1063,"",0,"",0,"","","",[]
34,"BreachDomainChaos2",[6801],1064,"",0,"",0,"","","",[]
35,"BreachDomainFire3",[6802],1070,"",0,"",0,"","","",[]
36,"BreachDomainCold3",[6803],1071,"",0,"",0,"","","",[]
37,"BreachDomainLightning3",[6804],1072,"",0,"",0,"","","",[]
38,"BreachDomainPhysical3",[6805],1068,"",0,"",0,"","","",[]
39,"BreachDomainChaos3",[6806],1069,"",0,"",0,"","","",[]
40,"BreachDomainFire4",[6807],1075,"",0,"",0,"","","",[]
41,"BreachDomainCold4",[6808],1076,"",0,"",0,"","","",[]
42,"BreachDomainLightning4",[6809],1077,"",0,"",0,"","","",[]
43,"BreachDomainPhysical4",[6810],1073,"",0,"",0,"","","",[]
44,"BreachDomainChaos4",[6811],1074,"",0,"",0,"","","",[]
45,"BreachDomainFire5",[6812],1080,"",0,"",0,"","","",[]
46,"BreachDomainCold5",[6813],1081,"",0,"",0,"","","",[]
47,"BreachDomainLightning5",[6814],1082,"",0,"",0,"","","",[]
48,"BreachDomainPhysical5",[6815],1078,"",0,"",0,"","","",[]
49,"BreachDomainChaos5",[6816],1079,"",0,"",0,"","","",[]
50,"EndgameLegionMap","[6817,6819,6820,6821,6818,6822,6823,6824,6825,6826]",1294,86,0,"",2,1,"","",[]
51,"EndgameLegionMap2","[6817,6819,6820,6821,6818,6822,6823,6824,6825,6826]",1295,86,0,"",3,1,"","",[]
52,"EndgameLegionMap3","[6817,6819,6820,6821,6818,6822,6823,6824,6825,6826]",1296,86,0,"",4,1,"","",[]
53,"EndgameLegionMap4","[6817,6819,6820,6821,6818,6822,6823,6824,6825,6826]",1297,86,0,"",5,1,"","",[]
54,"AfflictionBoss",[6827],1501,122,0,"",0,"","","",[]
55,"MavenFight","[9109,9110,9111,9112,9113,9114,9115,9116,9117,9118,9119]",1725,157,0,"",1,1,"",1,[]
56,"MavenBoss",[9160],1726,157,0,"",0,1,"",1,[]
57,"VaalVault",[6834],278,24,0,"",0,"","","",[]
58,"IncursionTemple",[9186],292,50,0,"",0,"","","",[8347]
59,"UltimatumTrial",[9187],1736,159,0,"",0,"","",1,[]
60,"HarvestBoss",[9188],1301,135,0,"",0,"","","",[]
61,"SirusBoss","[6786,6787,6788,6789]",1629,110,0,"",0,"",1,"",[]
62,"TangleMiniBossQuest",[9651],1281,197,79,986,0,"","","",[]
63,"TangleMiniBoss",[9652],1281,197,83,"",0,1,"","",[]
64,"TangleBossQuest",[9653],1284,198,83,986,0,"","","",[]
65,"TangleBoss",[9654],1284,198,84,"",0,1,"","",[]
66,"CleansingFireMiniBossQuest",[9655],1282,195,79,987,0,"","","",[]
67,"CleansingFireMiniBoss",[9656],1282,195,83,"",0,1,"","",[]
68,"CleansingFireBossQuest",[9657],1283,196,83,987,0,"","","",[]
69,"CleansingFireBoss",[9658],1283,196,84,"",0,1,"","",[]
70,"Lake",[9703],1767,205,0,"",0,"","","",[]
