"rownum","ChestsKey","SpawnWeight","i32","IsCartographerBox","bool","SpawnWeightIncrease"
0,247,40,5,"",1,15531
1,249,0,5,"","",""
2,250,100,15,"",1,""
3,251,100,12,"",1,""
4,252,80,5,"",1,""
5,253,20,5,"",1,""
6,254,16,5,1,1,15532
7,255,10,5,1,1,15532
8,256,4,5,1,1,15532
9,257,2,5,1,1,15532
10,258,0,5,"","",""
11,259,0,5,1,1,""
12,260,0,5,"",1,""
13,261,40,5,"",1,""
14,262,0,5,"","",""
15,263,80,5,"",1,""
16,264,60,10,"",1,""
17,265,0,10,"","",""
18,266,40,10,"",1,""
19,267,0,10,"","",""
20,268,600,5,"",1,""
21,269,0,5,"","",""
22,270,20,5,1,1,15533
23,272,0,5,"","",""
24,407,0,5,"","",""
25,248,0,5,"",1,""
26,1251,0,5,1,1,""
27,1252,0,10,1,1,""
28,1253,0,10,1,1,""
29,271,0,5,1,1,""
30,1733,0,5,1,"",""
