"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,7137,1161,112,79,"","g","Vaults of Atziri",""
1,8103,1139,163,149,"","Ç","Maelstrom of Chaos",""
2,8122,1195,167,153,"","Å","The Coward's Trial",""
3,8165,1212,169,159,"","Ô","Acton's Nightmare",""
4,8198,1181,199,191,"","ß","Poorjoy's Asylum",""
5,8215,1168,222,209,"","À","Mao Kun",""
6,8219,1217,226,213,"","#","Oba's Cursed Trove",""
7,8279,1151,229,216,"","$","Olmec's Sanctum",""
8,8280,1170,230,217,1,"","Untainted Paradise",""
9,8433,1219,316,303,"","¿","Death and Taxes",""
10,8600,1111,378,394,"","È","Whakawairua Tuahu",""
11,9288,1198,401,417,1,"Ù","Hall of Grandmasters",""
12,9289,1165,602,577,1,"²","The Vinktar Square",""
13,10572,1153,658,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,10641,1113,715,893,1,"™","The Perandus Manor",1
15,10958,1184,799,1049,"","Õ","The Putrid Cloister",""
16,10959,1141,801,1051,"","Ð","Hallowed Ground",""
17,11193,1249,950,1494,1,"","The Beachhead",""
18,11194,1250,950,1494,1,"","The Beachhead",""
19,11195,1251,950,1494,1,"","The Beachhead",""
20,11197,1173,952,1515,"","^","The Twilight Temple",""
21,11198,1123,956,1516,1,"‹","Doryani's Machinarium",""
22,11199,1149,960,1517,"","›","Pillars of Arun",""
23,11737,451,1180,2040,1,"","Altered Distant Memory",""
24,11738,452,1181,2041,1,"","Augmented Distant Memory",""
25,11739,453,1182,2042,1,"","Twisted Distant Memory",""
26,11740,454,1183,2043,1,"","Rewritten Distant Memory",""
27,11741,450,1184,2044,1,"","Cortex",""
28,11196,1252,1271,1494,1,"","Infused Beachhead",""
29,11742,450,1185,2044,1,"","Cortex",""
30,11200,1149,961,1517,1,"","Pillars of Arun",""
31,8199,1181,200,191,1,"","Poorjoy's Asylum",""
32,12392,1738,1399,1772,1,"","The Tower of Ordeals",""
