"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,8930,"",0
1,8931,"",0
2,8932,"",0
3,8933,"",0
4,8968,"",2
5,8969,"",3
6,8970,"",4
7,8971,"",5
8,8972,"",2
9,8973,"",3
10,8974,"",4
11,8975,"",5
12,8976,0,2
13,8977,0,3
14,8978,0,4
15,8979,0,5
16,8980,1,2
17,8981,1,3
18,8982,1,4
19,8983,1,5
20,8984,2,2
21,8985,2,3
22,8986,2,4
23,8987,2,5
24,8988,3,2
25,8989,3,3
26,8990,3,4
27,8991,3,5
28,8992,4,2
29,8993,4,3
30,8994,4,4
31,8995,4,5
32,8996,5,2
33,8997,5,3
34,8998,5,4
35,8999,5,5
36,9000,6,2
37,9001,6,3
38,9002,6,4
39,9003,6,5
40,9004,7,2
41,9005,7,3
42,9006,7,4
43,9007,7,5
44,9008,8,2
45,9009,8,3
46,9010,8,4
47,9011,8,5
48,9012,"",2
49,9013,"",3
50,9014,"",4
51,9015,"",5
52,9016,"",2
53,9017,"",3
54,9018,"",4
55,9019,"",5
56,9020,"",2
57,9021,"",3
58,9022,"",4
59,9023,"",5
