"rownum","IncursionRoomsKey","IncursionChestsKeys","ChestMarkerMetadata","i32","i32","i32"
0,27,"[0,2,5,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,2,2
1,49,"[1,2,3,5,8,10]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,4,4
2,71,"[2,3,4,5,6,7,8,9,11,12]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,7,7
3,26,"[52,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,1,1
4,48,"[52,53,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,2,2
5,70,"[52,53,54,55,56,57]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,3,3
6,28,"[30,31,36,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,3,3
7,50,"[30,31,32,34,35,36,37,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,5,5
8,72,"[30,31,32,33,34,35,36,37,38,39,40,41,42]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,8,8
9,22,"[58,61,64,67,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,2,2
10,44,"[58,60,61,62,64,65,66,67,68,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,4,4
11,66,"[58,59,60,61,62,63,64,65,66,67,68,69,70,71]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,6,6
12,23,"[72,74,76,81,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,2,2
13,45,"[72,74,75,76,77,79,80,81,82,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,4,4
14,67,"[72,73,74,75,76,77,78,79,80,81,82,83,84]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,6,6
15,17,"[43,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,1,1
16,39,"[43,44,46,47,48,50]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,2,2
17,61,"[43,44,45,46,47,48,49,50,51]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,3,3
18,19,"[15,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,3,3
19,41,"[14,16,18,20,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,5,5
20,63,"[13,16,17,18,19,20,21,22,23,24,25,26,27,28,29]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,8,8
21,92,"[85,86,87,88,89,90,91,92,93]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,2,2
22,93,"[88,89,90,91,92,93,94,95]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,4,4
23,94,"[92,93,94,95,96,97,98,99,100,101,102,103,104,105]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,6,6
