"rownum","Id","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","i32","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool","[rid]","bool","bool"
0,"1_1_2a-cannibalfire",[5],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
1,"1_1_2a-bosspack",[5],4,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
2,"1_1_2-cannibalfire",[4],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
3,"1_1_2-bosspack",[4],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
4,"1_1_3a-bosspack",[7],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
5,"1_1_3-nestpack",[6],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
6,"1_1_3-bosspack",[6],3,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
7,"1_1_4_0-bosspack",[8],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
8,"1_1_5-bosspackmain",[10],2,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
9,"1_1_5-totembosspack",[10],2,5,100,1,"[994,995,996,997]","",0,[],[],0,100,[],0,"",0,"",[],1,""
10,"1_1_6-corpsewheels",[11],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
11,"1_1_6-bosspack",[11],5,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
12,"1_1_7_1-bosspack",[12],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
13,"1_1_7_2-bosspack",[13],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
14,"1_1_7_2-sawbonesskeletons",[13],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
15,"1_1_8-goatmanshamanbosspack",[14],4,4,100,1,[273],1,0,[],[],0,100,[],0,"",0,"",[],1,""
