"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem"
0,"Accuracy1",57597,[6766],30,0,0,8881
1,"Accuracy2",51147,[15024],100,0,0,8881
2,"Accuracy3",64775,[15330],1,0,0,8881
3,"Accuracy4",9632,[15342],40,0,0,8881
4,"Armour1",46180,[9833],600,0,0,8881
5,"Armour2",48720,[97],30,0,0,8881
6,"Armour3",59754,[8255],20,0,0,8881
7,"Armour4",7137,[3463],50,0,0,8881
8,"Armour5",59936,[15011],25,0,0,8881
9,"Armour6",10680,[492],100,0,0,8881
10,"ArmourEvasion1",49522,[12960],5,0,0,8881
11,"ArmourEvasion2",62285,"[122,8214]",8,8,0,8881
12,"ArmourEvasion3",5108,[15036],100,0,0,8881
13,"ArmourEvasion4",23955,[15335],1,0,0,8881
14,"ArmourEnergyShield1",40578,[14933],1,0,0,8881
15,"ArmourEnergyShield2",37614,[14934],120,0,0,8881
16,"ArmourEnergyShield3",16215,[14989],20,0,0,8881
17,"ArmourEnergyShield4",18301,[1277],-20,0,0,8881
18,"Attack1",28524,[1230],3,0,0,8881
19,"Attack2",39154,[10610],30,0,0,8881
20,"Attack3",38401,[14921],50,0,0,8881
21,"Attack4",64511,[15172],40,0,0,8881
22,"Attack5",11938,[15177],1,0,0,8881
23,"Attack6",19500,[15341],1,0,0,8881
24,"Attributes1",5356,[3337],5,0,0,8881
25,"Attributes2",41483,[6876],1,0,0,8881
26,"Attributes3",26621,[15173],5,0,0,8881
27,"Attributes4",52604,[15174],5,0,0,8881
28,"Attributes5",15826,[15175],5,0,0,8881
29,"Axe1",28354,[5222],1,0,0,8881
30,"Axe2",11049,[9087],15,0,0,8881
31,"Axe3",9088,[3488],40,0,0,8881
32,"Axe4",50175,"[12008,11943]",30,15,0,8881
33,"Axe5",64228,[15178],10,0,0,8881
34,"Axe6",233,[11512],1,0,0,8881
35,"Bleeding1",59626,[3384],1,0,0,8881
36,"Bleeding2",10546,[7064],60,0,0,8881
37,"Bleeding3",3449,[5349],60,0,0,8881
38,"Bleeding4",23936,[4725],80,0,0,8881
39,"Bleeding5",38703,[15179],3,0,0,8881
40,"Blind1",43524,[14835],40,0,0,8881
41,"Blind2",7831,[977],100,0,0,8881
42,"Blind3",57463,[3662],60,0,0,8881
43,"Blind4",12100,[3484],100,0,0,8881
44,"Block1",55013,[491],2,0,0,8881
45,"Block2",44840,[8193],2,0,0,8881
46,"Block3",23442,"[1363,1364]",20,20,0,8881
47,"Block4",4500,[15212],3,0,0,8881
48,"Block5",41322,[14586],3,0,0,8881
49,"Bow1",59634,[7482],100,0,0,8881
50,"Bow2",45512,[9874],20,0,0,8881
51,"Bow3",42952,[11109],100,0,0,8881
52,"Bow4",26894,[13291],100,0,0,8881
53,"Bow5",36967,[15566],100,0,0,8881
54,"Bow6",56951,[15567],1,0,0,8881
55,"Brand1",37186,[14935],10,0,0,8881
56,"Brand2",5907,[14993],30,0,0,8881
57,"Brand3",20630,[12101],1,0,0,8881
58,"Brand4",39863,[8609],50,0,0,8881
59,"Brand5",32877,[8436],2,0,0,8881
60,"Brand6",46672,[8587],40,0,0,8881
61,"Caster1",48358,[14962],30,0,0,8881
62,"Caster2",33089,[14992],1,0,0,8881
63,"Caster3",61071,[14994],100,0,0,8881
64,"Caster4",50906,[11452],1,0,0,8881
65,"Caster5",27401,[8997],1,0,0,8881
66,"Caster6",23471,[7228],1,0,0,8881
67,"Chaos1",50933,[14936],1,0,0,8881
68,"Chaos2",59574,"[10698,14937]",1,10,0,8881
69,"Chaos3",1727,[12010],20,0,0,8881
70,"Chaos4",21652,[8836],50,0,0,8881
71,"Chaos5",28678,[150],17,0,0,8881
72,"Chaos6",65015,[485],40,0,0,8881
73,"Charges1",28720,[14938],1,0,0,8881
74,"Charges2",48661,[14939],1,0,0,8881
75,"Charges3",14100,[14940],1,0,0,8881
76,"Charges4",29652,[14968],100,0,0,8881
77,"Charges5",40307,[9549],3,0,0,8881
78,"Claw1",40041,"[2693,2694]",100,100,0,8881
79,"Claw2",7389,[4847],20,0,0,8881
80,"Claw3",36475,"[343,1300]",10,5,0,8881
81,"Claw4",4516,[6321],6,0,0,8881
82,"Claw5",2823,[15313],1,0,0,8881
83,"Claw6",22056,[15349],40,0,0,8881
84,"Cold1",4116,[227],1,0,0,8881
85,"Cold2",13267,[483],40,0,0,8881
86,"Cold3",38814,[201],60,0,0,8881
87,"Cold4",33129,[15181],25,0,0,8881
88,"Cold5",19495,[15182],-5,0,0,8881
89,"Cold6",26782,[15333],15,0,0,8881
90,"Criticals1",9986,[12584],50,0,0,8881
91,"Criticals2",2987,[14963],25,0,0,8881
92,"Criticals3",59734,[14979],100,0,0,8881
93,"Criticals4",38070,[14991],3,0,0,8881
94,"Criticals5",61534,[97],30,0,0,8881
95,"Criticals6",52684,[4119],150,0,0,8881
96,"Curse1",13382,[14941],20,0,0,8881
97,"Curse2",43250,[14996],20,0,0,8881
98,"Curse3",45691,[12076],1,0,0,8881
99,"Curse4",35426,[12211],20,0,0,8881
100,"Curse5",34663,[11496],1,0,0,8881
101,"Curse6",18130,[14922],30,0,0,8881
102,"Dagger1",63223,[3612],100,0,0,8881
103,"Dagger2",33315,[2040],1,0,0,8881
104,"Dagger3",20515,[15314],10,0,0,8881
105,"Dagger4",42559,[15316],8,0,0,8881
106,"Dagger5",58309,[15315],15,0,0,8881
107,"Dagger6",44869,[10338],40,0,0,8881
108,"DamageOverTime1",2459,[13929],30,0,0,8881
109,"DamageOverTime2",1251,[15183],10,0,0,8881
110,"DamageOverTime3",34420,"[215,6072]",15,15,0,8881
111,"DamageOverTime4",11521,[15317],-10,0,0,8881
112,"DualWield1",14796,"[14942,2853]",1,15,0,8881
113,"DualWield2",6090,[14943],100,0,0,8881
114,"DualWield3",46493,[14944],60,0,0,8881
115,"DualWield4",7972,[14967],20,0,0,8881
116,"DualWield5",60440,[14969],15,0,0,8881
117,"DualWield6",33959,"[14974,14975]",20,20,0,8881
118,"Duration1",17852,[14977],10,0,0,8881
119,"Duration2",21730,[14978],-10,0,0,8881
120,"Duration3",24352,[6336],15,0,0,8881
121,"Duration4",14881,[621],20,0,0,8881
122,"Elemental1",48385,[14995],-18,0,0,8881
123,"Elemental2",4119,[1668],-60,0,0,8881
124,"Elemental3",59343,[1898],10,0,0,8881
125,"Elemental4",17942,[6304],40,0,0,8881
126,"Elemental5",30502,[141],15,0,0,8881
127,"Elemental6",25681,[8823],100,0,0,8881
128,"EnergyShield1",51424,"[1734,1210]",1,30,0,8881
129,"EnergyShield2",30520,[14946],1,0,0,8881
130,"EnergyShield3",571,[14970],50,0,0,8881
131,"EnergyShield4",35810,[1409],120,0,0,8881
132,"EnergyShield5",29586,[698],3,0,0,8881
133,"EnergyShield6",31556,[15012],25,0,0,8881
134,"Evasion1",25487,[7673],1,0,0,8881
135,"Evasion2",37190,[4639],40,0,0,8881
136,"Evasion3",6462,[6759],10,0,0,8881
137,"Evasion4",61741,"[4432,5271,12061]",30,30,30,8881
138,"Evasion5",57074,[15014],25,0,0,8881
139,"Evasion6",28676,[15334],100,0,0,8881
140,"EvasionEnergyShield1",11541,[15184],30,0,0,8881
141,"EvasionEnergyShield2",46099,[15185],20,0,0,8881
142,"EvasionEnergyShield3",47151,[15186],30,0,0,8881
143,"EvasionEnergyShield4",38423,[15336],1,0,0,8881
144,"Fire1",24180,[14947],-5,0,0,8881
145,"Fire2",65020,[14964],2,0,0,8881
146,"Fire3",37,[482],40,0,0,8881
147,"Fire4",36313,[5236],20,0,0,8881
148,"Fire5",55308,[5318],1,0,0,8881
149,"Fire6",6216,"[10180,144]",20,-30,0,8881
150,"Flask1",29214,[14948],10,0,0,8881
151,"Flask2",59906,[14949],1,0,0,8881
152,"Flask3",11869,"[10994,9995]",1,1,0,8881
153,"Flask4",40906,[1744],10,0,0,8881
154,"Flask5",20464,[9990],1,0,0,8881
155,"Flask6",10815,[14965],1,0,0,8881
156,"Fortify1",37925,"[2760,14847]",100,-3,0,8881
157,"Fortify2",51153,[14847],3,0,0,8881
158,"Fortify3",27173,[2952],100,0,0,8881
159,"Fortify4",4710,[15115],-10,0,0,8881
160,"Impale1",43295,[15034],100,0,0,8881
161,"Impale2",56133,[10790],20,0,0,8881
162,"Impale3",29209,"[12673,12671]",40,40,0,8881
163,"Impale4",43308,"[13139,12672]",4,10,0,8881
164,"Impale5",20273,[15187],20,0,0,8881
165,"Leech1",62252,[9268],20,0,0,8881
166,"Leech2",2249,[9269],30,0,0,8881
167,"Leech3",5995,[9270],30,0,0,8881
168,"Leech4",53627,[2864],30,0,0,8881
169,"Leech5",57298,[11973],100,0,0,8881
170,"Life1",64381,"[124,2807]",10,-10,0,8881
171,"Life2",34242,[6776],120,0,0,8881
172,"Life3",47642,[123],50,0,0,8881
173,"Life4",31822,[13995],-15,0,0,8881
174,"Life5",21468,[5845],50,0,0,8881
175,"Life6",38454,[15031],100,0,0,8881
176,"Link1",59815,[15166],1,0,0,8881
177,"Link2",26985,[15170],20,0,0,8881
178,"Link3",18365,[15168],-5,0,0,8881
179,"Link4",46059,[15169],1,0,0,8881
180,"Lightning1",53046,[484],40,0,0,8881
181,"Lightning2",64241,[11451],1,0,0,8881
182,"Lightning3",50993,[16298],15,0,0,8881
183,"Lightning4",28569,[16637],10,0,0,8881
184,"Lightning5",64063,[15188],1,0,0,8881
185,"Lightning6",20364,[15368],1,0,0,8881
186,"Mace1",37132,[14950],1,0,0,8881
187,"Mace2",17821,[14951],20,0,0,8881
188,"Mace3",12139,[14966],1,0,0,8881
189,"Mace4",22542,[14997],12,0,0,8881
190,"Mace5",40991,[341],50,0,0,8881
191,"Mace6",16425,[2609],1,0,0,8881
192,"Mana1",2902,[14976],300,0,0,8881
193,"Mana2",55886,[12068],10,0,0,8881
194,"Mana3",59064,[1073],10,0,0,8881
195,"Mana4",12119,[213],10,0,0,8881
196,"Mana5",64642,[3724],10,0,0,8881
197,"Mana6",64875,[15010],100,0,0,8881
198,"Mark1",2800,[13342],25,0,0,8881
199,"Mark2",34031,[15190],1,0,0,8881
200,"Mark3",48980,[15193],10,0,0,8881
201,"Mark4",50841,[15338],1,0,0,8881
202,"Mark5",52153,[15511],10,0,0,8881
203,"Mine1",29161,[10047],2,0,0,8881
204,"Mine2",47823,[10048],-2,0,0,8881
205,"Mine3",18391,[10122],30,0,0,8881
206,"Mine4",21313,[15194],100,0,0,8881
207,"Mine5",533,[15195],1,0,0,8881
208,"Mine6",6510,[15197],150,0,0,8881
209,"MinionDefence1",61283,[10248],8,0,0,8881
210,"MinionDefence2",20153,[14932],1,0,0,8881
211,"MinionDefence3",15574,[3117],100,0,0,8881
212,"MinionDefence4",58106,[4355],40,0,0,8881
213,"MinionDefence5",43400,"[159,15144]",30,-15,0,8881
214,"MinionDefence6",46636,[11458],5,0,0,8881
215,"MinionOffence1",47429,[14971],20,0,0,8881
216,"MinionOffence2",9876,[14972],8,0,0,8881
217,"MinionOffence3",40073,[9978],25,0,0,8881
218,"MinionOffence4",41544,[2672],30,0,0,8881
219,"MinionOffence5",11723,[8117],250,0,0,8881
220,"MinionOffence6",57179,[4413],20,0,0,8881
221,"Physical1",62782,[15035],100,0,0,8881
222,"Physical2",32255,[12993],20,0,0,8881
223,"Physical3",20173,[1669],-60,0,0,8881
224,"Physical4",39010,[10765],15,0,0,8881
225,"Physical5",18859,[15198],40,0,0,8881
226,"Physical6",59010,"[15339,10869]",20,10,0,8881
227,"Poison1",34563,[11459],300,0,0,8881
228,"Poison2",62897,[9086],20,0,0,8881
229,"Poison3",45300,[11102],12,0,0,8881
230,"Poison4",64264,[3364],20,0,0,8881
231,"Poison5",16264,[5213],3,0,0,8881
232,"Poison6",52120,[15340],20,0,0,8881
233,"Projectile1",16644,[7127],20,0,0,8881
234,"Projectile2",2198,[7898],20,0,0,8881
235,"Projectile3",52404,[15201],1,0,0,8881
236,"Projectile4",14813,[15200],1,0,0,8881
237,"Projectile5",1167,[15202],15,0,0,8881
238,"Projectile6",44240,[15203],-15,0,0,8881
239,"Reservation1",28638,[15076],8,0,0,8881
240,"Reservation2",34383,[14736],15,0,0,8881
241,"Reservation3",23621,[14737],20,0,0,8881
242,"Reservation4",56471,[844],30,0,0,8881
243,"Reservation5",61097,[15083],10,0,0,8881
244,"Reservation6",12046,[11641],50,0,0,8881
245,"Resistance1",19422,[7902],1,0,0,8881
246,"Resistance2",4319,"[5852,6401]",100,1,0,8881
247,"Resistance3",9074,[12061],100,0,0,8881
248,"Resistance4",46807,[6080],20,0,0,8881
249,"Resistance5",53837,[1277],-20,0,0,8881
250,"Resistance6",31331,"[141,150]",12,7,0,8881
251,"Shield1",45263,[15103],50,0,0,8881
252,"Shield2",30612,[15104],1,0,0,8881
253,"Shield3",10059,[15105],1,0,0,8881
254,"Shield4",50228,[9221],20,0,0,8881
255,"Shield5",35302,[11409],2,0,0,8881
256,"Shield6",45307,[11410],1,0,0,8881
257,"Staff1",50863,"[15106,15107]",2,2,0,8881
258,"Staff2",28589,[15108],30,0,0,8881
259,"Staff3",47249,[15109],8,0,0,8881
260,"Staff4",22149,[3827],20,0,0,8881
261,"Staff5",9143,"[3231,5570]",100,0,0,8881
262,"Staff6",65233,[6941],60,0,0,8881
263,"Suppression1",58447,[14775],3,0,0,8881
264,"Suppression2",7677,[15204],1,0,0,8881
265,"Suppression3",42014,[15205],1,0,0,8881
266,"Suppression4",2474,[15366],-50,0,0,8881
267,"Suppression5",13757,[15337],12,0,0,8881
268,"Sword1",47595,[9839],3,0,0,8881
269,"Sword2",47299,[8418],20,0,0,8881
270,"Sword3",8018,[12797],8,0,0,8881
271,"Sword4",23247,[15209],1,0,0,8881
272,"Sword5",50922,"[2382,615]",120,-20,0,8881
273,"Sword6",54067,[223],50,0,0,8881
274,"Totem1",60050,[10562],1,0,0,8881
275,"Totem2",27718,[15079],30,0,0,8881
276,"Totem3",12747,[15077],5,0,0,8881
277,"Totem4",53005,[15110],1,0,0,8881
278,"Totem5",32279,[3042],4000,0,0,8881
279,"Totem6",16950,[11012],50,0,0,8881
280,"Trap1",13257,[14086],5,0,0,8881
281,"Trap2",8298,[15030],50,0,0,8881
282,"Trap3",50265,[949],5,0,0,8881
283,"Trap4",20694,[312],60,0,0,8881
284,"Trap5",763,[4740],30,0,0,8881
285,"Trap6",43061,[15196],1,0,0,8881
286,"TwoHand1",35582,[12631],3,0,0,8881
287,"TwoHand2",27095,[3404],40,0,0,8881
288,"TwoHand3",31564,"[15319,15320]",10,10,0,8881
289,"TwoHand4",31038,[15323],15,0,0,8881
290,"TwoHand5",1626,"[11590,70]",60,-10,0,8881
291,"Wand1",16545,[15111],10,0,0,8881
292,"Wand2",26785,[15112],1,0,0,8881
293,"Wand3",42540,[15113],1,0,0,8881
294,"Wand4",61352,[11639],100,0,0,8881
