"rownum","WorldAreasKey","InheritsFrom","RecipeId"
0,36,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",146
1,37,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",161
2,49,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",158
3,42,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",187
4,47,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",170
5,52,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",176
6,61,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",244
7,63,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",173
8,65,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",239
9,67,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",234
10,71,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",194
11,60,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",168
12,69,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBeast",133
13,79,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",147
14,80,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",159
15,81,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",183
16,93,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",141
17,98,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",149
18,91,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",162
19,88,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",188
20,111,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockRunestone",171
21,112,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",174
22,105,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",178
23,115,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",180
24,119,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",135
25,125,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",228
26,131,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",230
27,141,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",160
28,139,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",163
29,136,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",169
30,149,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",185
31,154,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",181
32,151,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",150
33,155,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBookNoHelena",148
34,163,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiRackNoHelena",148
35,525,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",139
36,526,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",139
37,527,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",139
38,597,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",137
39,598,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",137
40,599,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",137
41,669,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",138
42,670,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",138
43,671,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",138
44,741,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockLabyrinth",140
