"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,19464,80,13,100
1,19465,80,0,100
2,19466,80,0,100
3,19467,80,13,100
4,19468,80,0,100
5,19469,80,0,100
6,19470,120,13,100
7,19471,120,0,100
8,19472,120,0,100
9,19473,80,20,100
10,19474,80,20,100
11,19475,80,20,100
12,19476,50,68,100
13,19477,50,68,100
14,19478,50,68,100
15,19479,50,40,100
16,19480,50,40,100
17,19481,50,40,100
18,19482,80,13,100
19,19483,80,0,100
20,19484,80,0,100
21,19485,120,13,100
22,19486,120,0,100
23,19487,120,0,100
24,19488,120,13,100
25,19489,120,0,100
26,19490,120,0,100
27,19491,120,13,100
28,19492,120,68,100
29,19493,120,68,100
30,19494,80,13,100
31,19495,80,0,100
32,19496,80,0,100
33,19497,50,68,100
34,19498,50,68,100
35,19499,0,68,100
36,19500,50,68,100
37,19501,50,68,100
38,19502,0,68,100
39,19503,50,68,100
40,19504,50,68,100
41,19505,50,68,100
42,19506,50,40,100
43,19507,50,40,100
44,19508,0,40,100
45,19509,80,20,100
46,19510,50,50,100
47,19511,37,68,100
48,19512,50,30,100
49,19513,80,13,100
50,19514,120,13,100
51,19515,37,13,100
52,19516,50,68,100
53,19517,80,63,100
54,19518,120,13,100
55,19519,80,13,100
56,19520,50,13,100
57,19521,120,0,100
58,19522,120,0,100
59,19523,120,13,100
60,19524,120,0,100
61,19525,50,40,100
62,19532,120,0,100
63,19533,80,20,100
64,19534,50,40,100
