"rownum","InfluenceMod","UpgradedMod","bool"
0,14305,24145,1
1,14306,24146,1
2,14307,14308,""
3,14308,24147,1
4,14309,14310,""
5,14310,24148,1
6,14311,14312,""
7,14312,24149,1
8,14313,24150,1
9,14315,24151,1
10,14317,14318,""
11,14318,24152,1
12,14319,14320,""
13,14320,24153,1
14,14321,24154,1
15,14322,14323,""
16,14323,24155,1
17,14324,14325,""
18,14325,24156,1
19,14326,14327,""
20,14327,24157,1
21,14328,14329,""
22,14329,24158,1
23,14330,14331,""
24,14331,24159,1
25,14332,14333,""
26,14333,24160,1
27,14334,14335,""
28,14335,24161,1
29,14336,14337,""
30,14337,24162,1
31,14338,14339,""
32,14339,24163,1
33,14340,14341,""
34,14341,24164,1
35,20297,20298,""
36,20298,24165,1
37,20373,20374,""
38,20374,24166,1
39,20375,24167,1
40,20379,20380,""
41,20380,24170,1
42,20381,24171,1
43,20382,20383,""
44,20383,24172,1
45,20384,20385,""
46,20385,24173,1
47,20386,20387,""
48,20387,24174,1
49,20388,24175,1
50,20389,24176,1
51,20390,20391,""
52,20391,20392,""
53,20392,24177,1
54,20393,20394,""
55,20394,24178,1
56,20395,24179,1
57,20396,20397,""
58,20397,24180,1
59,20398,20399,""
60,20399,24181,1
61,20400,24182,1
62,20401,20402,""
63,20402,24183,1
64,20403,24184,1
65,20404,24185,1
66,20405,24186,1
67,20406,20407,""
68,20407,24187,1
69,20408,24188,1
70,20409,20410,""
71,20410,24189,1
72,20411,20412,""
73,20412,24190,1
74,20413,20414,""
75,20414,24191,1
76,20415,20416,""
77,20416,24192,1
78,20417,20418,""
79,20418,24193,1
80,20419,24195,1
81,20420,24196,1
82,20421,20422,""
83,20422,24197,1
84,20423,20424,""
85,20424,24198,1
86,20425,20426,""
87,20426,24199,1
88,20427,20428,""
89,20428,24200,1
90,14238,14239,""
91,14239,14240,""
92,14240,24201,1
93,14241,14242,""
94,14242,14243,""
95,14243,24202,1
96,14244,14245,""
97,14245,24203,1
98,14246,14247,""
99,14247,14248,""
100,14248,24204,1
101,14249,14250,""
102,14250,14251,""
103,14251,24205,1
104,14255,14256,""
105,14256,14257,""
106,14257,24207,1
107,14258,14259,""
108,14259,14260,""
109,14260,24208,1
110,14261,14262,""
111,14262,14263,""
